"","ï..PWSID","Water.System.Name","Fee.Code","Population","Service.Connections","CES.3.0.Score","Median_12month_HH_Income","Median_rent_pct_Income","tag","logService.Connections","Median_12month_HH_Income2","fee.code"
"527","CA2300663","BRANSCOMB MUTUAL WATER COMPANY","SC",42,15,16.18," $39,028.00 ",36.2,"Bin A",1.17609125905568,39028,4
"528","CA4910023","CALIFORNIA-AMERICAN LARKFIELD (PUC)","C1",7270,2203,19.55," $81,142.55 ",36.17,"Bin B",3.34301449715077,81142.55,1
"529","CA3710016","RAINBOW MUNICIPAL WD","C1",44726,8254,14.68," $87,072.08 ",36.16,"Bin D",3.9166644645414,87072.08,1
"530","CA3310048","COACHELLA VWD: I.D. NO. 8","DAVCL",4300,1586,9.25," $52,827.74 ",36.15,"Bin B",3.20030318298158,52827.74,2
"531","CA3610057","RIVERSIDE HIGHLAND WATER COMPANY","C1",17780,4852,37.81," $59,866.07 ",36.11,"Bin C",3.68592079219454,59866.07,1
"532","CA5401003","EAST OROSI CSD","DAVCS",932,103,46.49," $30,034.00 ",36.1,"Bin A",2.01283722470517,30034,3
"533","CA2300590","SURFWOOD MUTUAL WATER CORPORATION","SC",160,107,12.12," $62,795.00 ",36.1,"Bin A",2.02938377768521,62795,4
"534","CA2300610","CASPAR SOUTH SERVICE COMPANY","SC",188,93,12.12," $62,795.00 ",36.1,"Bin A",1.96848294855394,62795,4
"535","CA2300646","BELLA SHORES MOBILE HOME PARK","SC",80,60,12.12," $62,795.00 ",36.1,"Bin A",1.77815125038364,62795,4
"536","CA2300644","WOODSIDE RV PARK","SC",280,58,12.12," $62,795.00 ",36.1,"Bin A",1.76342799356294,62795,4
"537","CA2300832","HILLS RANCH MUTUAL WATER COMPANY","SC",77,50,12.12," $62,795.00 ",36.1,"Bin A",1.69897000433602,62795,4
"538","CA2300545","SHORELANDS ROAD & WATER COMPANY","SC",85,47,12.12," $62,795.00 ",36.1,"Bin A",1.67209785793572,62795,4
"539","CA2300609","SEAFAIR ROAD AND WATER COMPANY","SC",50,31,12.12," $62,795.00 ",36.1,"Bin A",1.49136169383427,62795,4
"540","CA2300604","POINT OF VIEW MUTUAL WATER CO","SC",56,29,12.12," $62,795.00 ",36.1,"Bin A",1.46239799789896,62795,4
"541","CA2300668","POINT CABRILLO HIGHLANDS","SC",42,21,12.12," $62,795.00 ",36.1,"Bin A",1.32221929473392,62795,4
"542","CA2300596","BIG RIVER VISTA MUTUAL WATER COMPANY","SC",36,19,12.12," $62,795.00 ",36.1,"Bin A",1.27875360095283,62795,4
"543","CA4010014","CAMBRIA COMM SERVICES DIST","C1",6032,4034,3.23," $67,349.33 ",36.08,"Bin C",3.60573589387675,67349.33,1
"544","CA5200500","REEDS CREEK ESTATES","SC",70,25,31.45," $31,194.05 ",36.07,"Bin A",1.39794000867204,31194.05,4
"545","CA1510001","ARVIN COMMUNITY SERVICES DIST","DAVCL",21947,4038,39.65," $34,733.56 ",36.04,"Bin C",3.60616631460762,34733.56,2
"546","CA0510016","CCWD - EBBETTS PASS","C1",12484,6013,10.33," $59,178.92 ",36.04,"Bin C",3.7790912038455,59178.92,1
"547","CA3900661","MAPACHE TRAILER PARK","SC",275,99,59.22," $36,373.00 ",36,"Bin A",1.99563519459755,36373,4
"548","CA3900606","A1 WINSTONS MOBILE HOME PARK","SC",75,30,59.22," $36,373.00 ",36,"Bin A",1.47712125471966,36373,4
"549","CA3900569","EL RIO MOBILE HOME PARK","SC",60,28,59.22," $36,373.00 ",36,"Bin A",1.44715803134222,36373,4
"550","CA1910050","COMMERCE-CITY, WATER DEPT.","C1",4203,989,64.79," $47,800.17 ",35.99,"Bin A",2.99519629159718,47800.17,1
"551","CA3910003","ESCALON, CITY OF","C1",7725,2495,31.19," $70,366.91 ",35.99,"Bin B",3.39707054995941,70366.91,1
"552","CA1910212","GSWC-SOUTH ARCADIA","C1",26970,7451,31.29," $72,406.28 ",35.98,"Bin D",3.87221456339759,72406.28,1
"553","CA3310032","SAN JACINTO, CITY OF","DAVCL",13856,4136,30.49," $42,653.24 ",35.93,"Bin C",3.61658053008589,42653.24,2
"554","CA5310001","WEAVERVILLE C.S.D.","DAVCL",3600,1636,11.89," $41,982.64 ",35.91,"Bin B",3.2137832993353,41982.64,2
"555","CA3600260","SMILEY PARK COUNTRY CLUB","SC",530,112,22.91," $60,368.00 ",35.9,"Bin A",2.04921802267018,60368,4
"556","CA3210003","CITY OF PORTOLA","DAVCS",1970,1123,20.01," $53,958.00 ",35.9,"Bin B",3.05037975626146,53958,3
"557","CA3200104","GRIZZLY LAKE CSD-DELLEKER","DAVCS",657,350,20.01," $53,958.00 ",35.9,"Bin A",2.54406804435028,53958,3
"558","CA3200107","GRIZZLY LAKE CSD-CROCKER/WELCH","DAVCS",215,70,20.01," $53,958.00 ",35.9,"Bin A",1.84509804001426,53958,3
"559","CA3200148","FEATHER RIVER RV & MHP","SC",700,70,20.01," $53,958.00 ",35.9,"Bin A",1.84509804001426,53958,4
"560","CA3200138","MEADOW EDGE MHP","SC",53,54,20.01," $53,958.00 ",35.9,"Bin A",1.73239375982297,53958,4
"561","CA4010028","SLO CSA NO. 16 - SHANDON","SC",1295,340,18.45," $82,475.00 ",35.9,"Bin A",2.53147891704225,82475,4
"562","CA4000802","SANTA YSABEL RANCH MWC","SC",25,146,18.45," $82,475.00 ",35.9,"Bin A",2.16435285578444,82475,4
"563","CA4000554","GREEN RIVER MUTUAL WATER CO.","SC",350,115,18.45," $82,475.00 ",35.9,"Bin A",2.06069784035361,82475,4
"564","CA4000789","SPANISH LAKES MUTUAL WATER CO","SC",40,1,18.45," $82,475.00 ",35.9,"Bin A",0,82475,4
"565","CA1900303","LLANO MUTUAL WATER COMPANY","SC",264,78,18.22," $49,160.70 ",35.9,"Bin A",1.89209460269048,49160.7,4
"566","CA2700773","SUNNY MESA WATER SYSTEM","SC",880,263,38.5," $63,958.25 ",35.83,"Bin A",2.41995574848976,63958.25,4
"567","CA3610051","VALLEY OF ENCHANTMENT MWC","SC",1850,823,41.27," $53,424.00 ",35.8,"Bin A",2.91539983521227,53424,4
"568","CA3610011","CEDARPINES PARK MWC","SC",2511,771,41.27," $53,424.00 ",35.8,"Bin A",2.88705437805096,53424,4
"569","CA3610046","VALLEY VIEW PARK MWC","SC",499,218,41.27," $53,424.00 ",35.8,"Bin A",2.3384564936046,53424,4
"570","CA3600064","CAMP WATERMAN MWC","SC",55,30,41.27," $53,424.00 ",35.8,"Bin A",1.47712125471966,53424,4
"571","CA3610801","CDF - PILOT ROCK CONSERVATION CAMP","SC",65,5,41.27," $53,424.00 ",35.8,"Bin A",0.698970004336019,53424,4
"572","CA1810002","WESTWOOD C.S.D.","DAVCS",1662,948,17.02," $53,000.00 ",35.8,"Bin A",2.97680833733807,53000,3
"573","CA1800512","CLEAR CREEK CSD-WESTWOOD","DAVCS",400,166,17.02," $53,000.00 ",35.8,"Bin A",2.22010808804005,53000,3
"574","CA1800534","SPAULDING EAGLE LAKE MWC","SC",289,82,17.02," $53,000.00 ",35.8,"Bin A",1.91381385238372,53000,4
"575","CA4710008","MT. SHASTA, CITY OF","DAVCL",3642,1841,12.21," $47,982.00 ",35.8,"Bin B",3.26505378850401,47982,2
"576","CA4700542","ABRAMS LAKE MOBILE ESTATES","DAVCS",135,86,12.21," $47,982.00 ",35.8,"Bin A",1.93449845124357,47982,3
"577","CA4700549","LAKE SISKIYOU M.W.C.","DAVCS",240,84,12.21," $47,982.00 ",35.8,"Bin A",1.92427928606188,47982,3
"578","CA4700880","SISKIYOU LAKE HIGHLANDS MWC","SC",100,78,12.21," $47,982.00 ",35.8,"Bin A",1.89209460269048,47982,4
"579","CA4700803","SHADOW MOUNTAIN MHP","DAVCS",100,71,12.21," $47,982.00 ",35.8,"Bin A",1.85125834871908,47982,3
"580","CA4700541","CHATEAU SHASTA MOBILE HOME & RV PARK","DAVCS",55,63,12.21," $47,982.00 ",35.8,"Bin A",1.79934054945358,47982,3
"581","CA4700872","MONTE SHASTA M.W.C.","SC",150,45,12.21," $47,982.00 ",35.8,"Bin A",1.65321251377534,47982,4
"582","CA4700686","SUN MOUNTAIN M.W.C.","SC",55,31,12.21," $47,982.00 ",35.8,"Bin A",1.49136169383427,47982,4
"583","CA5301102","TRINITY KNOLLS MUTUAL WATER COMPANY","SC",44,65,12.06," $42,080.13 ",35.8,"Bin A",1.81291335664286,42080.13,4
"584","CA3600222","JUNIPER RIVIERA CWD","SC",441,250,23.45," $48,656.90 ",35.78,"Bin A",2.39794000867204,48656.9,4
"585","CA4500009","CORTLAND PINES MUTUAL WATER CO","SC",92,33,15.18," $48,656.19 ",35.77,"Bin A",1.51851393987789,48656.19,4
"586","CA1910002","AMARILLO MUTUAL WATER COMPANY","SC",3134,627,47.98," $60,074.35 ",35.74,"Bin A",2.79726754083072,60074.35,4
"587","CA4500003","MEL MAR MUTUAL WATER CO","SC",300,91,6.47," $75,179.00 ",35.7,"Bin A",1.95904139232109,75179,4
"588","CA4500313","SHASTA CO CSA # 8 PALO CEDRO","SC",261,79,6.47," $75,178.58 ",35.7,"Bin A",1.89762709129044,75178.58,4
"589","CA4010016","LOS OSOS COMMUNITY SERVICES DISTRICT","C1",7086,2765,6.42," $70,114.65 ",35.69,"Bin B",3.44169513564072,70114.65,1
"590","CA1910144","SAN GABRIEL COUNTY WD","C1",45000,9250,34.64," $60,986.68 ",35.67,"Bin D",3.96614173273903,60986.68,1
"591","CA1910191","NORWALK - CITY, WATER DEPT.","C1",12794,5322,46.89," $59,409.37 ",35.62,"Bin C",3.72607487021537,59409.37,1
"592","CA2310004","WILLITS, CITY OF","DAVCL",6175,2404,22.44," $36,916.99 ",35.6,"Bin B",3.3809344633307,36916.99,2
"593","CA0707594","CASA MEDANOS WATER SYSTEM","SC",45,16,46.53," $45,701.00 ",35.6,"Bin A",1.20411998265592,45701,4
"594","CA5010035","CITY OF MODESTO - CENTRAL TURLOCK","SC",116,36,32.13," $33,622.00 ",35.6,"Bin A",1.55630250076729,33622,4
"595","CA5000316","HAKAM MISSON","SC",45,14,32.13," $33,622.00 ",35.6,"Bin A",1.14612803567824,33622,4
"596","CA2300705","LITTLE LAKE MOBILE HOME PARK","DAVCS",38,19,22.45," $36,906.00 ",35.6,"Bin A",1.27875360095283,36906,3
"597","CA1910186","CAL-AM WATER COMPANY - DUARTE","C1",24020,7279,36.94," $66,613.96 ",35.57,"Bin D",3.86207171937999,66613.96,1
"598","CA3610062","RUNNING SPRINGS WATER DISTRICT","C1",4862,2999,22.55," $60,295.15 ",35.56,"Bin B",3.47697646575953,60295.15,1
"599","CA3110010","TAHOE CITY PUD - MAIN","C1",5661,2906,4.72," $70,510.07 ",35.53,"Bin B",3.463295609962,70510.07,1
"600","CA3301482","ORTEGA OAKS RV PARK&CAMPGROUND","SC",180,80,29.51," $73,130.14 ",35.5,"Bin A",1.90308998699194,73130.14,4
"601","CA5403110","SIERRA MUTUAL WATER CO","SC",36,18,57.84," $42,532.01 ",35.5,"Bin A",1.25527250510331,42532.01,4
"602","CA5410048","PORTERVILLE-JONES CORNER","SC",339,118,57.84," $42,532.00 ",35.5,"Bin A",2.07188200730613,42532,4
"603","CA5410801","PORTERVILLE DEVELOPMENTAL CENTER","SC",1327,99,57.84," $42,532.00 ",35.5,"Bin A",1.99563519459755,42532,4
"604","CA5400504","A & A MHP (PORTERVILLE MOBILE VILLAGE)","SC",154,62,57.84," $42,532.00 ",35.5,"Bin A",1.79239168949825,42532,4
"605","CA5400718","WILLIAMS MUTUAL WATER CO","SC",180,50,57.84," $42,532.00 ",35.5,"Bin A",1.69897000433602,42532,4
"606","CA5400935","CWS - MULLEN WATER COMPANY","SC",138,42,57.84," $42,532.00 ",35.5,"Bin A",1.6232492903979,42532,4
"607","CA5400655","CENTRAL MUTUAL WATER CO","SC",119,41,57.84," $42,532.00 ",35.5,"Bin A",1.61278385671974,42532,4
"608","CA5400767","DEL ORO EAST PLANO DISTRICT","SC",46,14,57.84," $42,532.00 ",35.5,"Bin A",1.14612803567824,42532,4
"609","CA4900558","BELMONT TERRACE MUTUAL WATER COMPANY","SC",244,87,16.92," $78,213.00 ",35.5,"Bin A",1.93951925261862,78213,4
"610","CA1910153","SOUTH MONTEBELLO IRRIGATION DIST.","C1",7851,2372,45.8," $49,510.49 ",35.48,"Bin B",3.37511468469223,49510.49,1
"611","CA1210019","HYDESVILLE CO. W.D.","DAVCS",1409,428,15," $51,303.29 ",35.48,"Bin A",2.63144376901317,51303.29,3
"612","CA5610022","VENTURA RIVER WATER DISTRICT","C1",5700,2151,15.13," $74,274.11 ",35.48,"Bin B",3.33264041038746,74274.11,1
"613","CA5410026","POPLAR COMM SERVICE DIST","DAVCS",2200,597,57.71," $42,439.97 ",35.47,"Bin A",2.77597433112937,42439.97,3
"614","CA5301001","BUCKTAIL MUTUAL WATER COMPANY","SC",61,42,12.63," $42,394.45 ",35.43,"Bin A",1.6232492903979,42394.45,4
"615","CA1710015","HIDDEN VALLEY LAKE CSD","C1",8207,2487,12.32," $59,745.00 ",35.4,"Bin B",3.39567578526994,59745,1
"616","CA1710013","CALLAYOMI COUNTY WATER DISTRICT","DAVCS",1317,449,12.32," $59,745.00 ",35.4,"Bin A",2.65224634100332,59745,3
"617","CA1700502","ANDERSON SPRINGS CSD","SC",285,100,12.32," $59,745.00 ",35.4,"Bin A",2,59745,4
"618","CA1700609","LAZY S MOBILE RANCH","SC",73,24,12.32," $59,745.00 ",35.4,"Bin A",1.38021124171161,59745,4
"619","CA2910001","CITY OF GRASS VALLEY","DAVCL",4947,2500,33.39," $41,470.75 ",35.37,"Bin B",3.39794000867204,41470.75,2
"620","CA0310001","CITY OF JACKSON","C1",4686,2175,25.44," $55,979.87 ",35.33,"Bin B",3.33745926129066,55979.87,1
"621","CA1210006","FORTUNA, CITY OF","DAVCL",11649,4377,24.11," $45,741.43 ",35.32,"Bin C",3.64117654661311,45741.43,2
"622","CA4900549","SONOMA COUNTY CSA 41-FREESTONE","SC",90,26,8.15," $76,947.53 ",35.31,"Bin A",1.41497334797082,76947.53,4
"623","CA3900732","V & P TRAILER COURT WATER SYSTEM","SC",35,15,54.81," $52,729.00 ",35.3,"Bin A",1.17609125905568,52729,4
"624","CA3400331","WESTERNER MOBILE HOME PARK","SC",65,49,31.4," $62,319.00 ",35.3,"Bin A",1.69019608002851,62319,4
"625","CA3400397","LAGUNA VILLAGE RV PARK","SC",32,28,31.4," $62,319.00 ",35.3,"Bin A",1.44715803134222,62319,4
"626","CA3600258","SKY FOREST MWC","SC",605,121,27.51," $79,821.00 ",35.3,"Bin A",2.08278537031645,79821,4
"627","CA5301104","COVINGTON MILL MWC-DIVISION B","SC",99,99,12.82," $42,500.00 ",35.3,"Bin A",1.99563519459755,42500,4
"628","CA5301008","PINE COVE RV PARK","SC",223,61,12.82," $42,500.00 ",35.3,"Bin A",1.78532983501077,42500,4
"629","CA5301017","RUSH CREEK MUTUAL WATER SYSTEM","SC",104,37,12.82," $42,500.00 ",35.3,"Bin A",1.56820172406699,42500,4
"630","CA5303002","INDIAN CREEK TRAILER PARK","DAVCS",36,35,12.82," $42,500.00 ",35.3,"Bin A",1.54406804435028,42500,3
"631","CA5301201","SEYMOUR'S MUTUAL WATER SYSTEM","SC",29,27,12.82," $42,500.00 ",35.3,"Bin A",1.43136376415899,42500,4
"632","CA4900536","OCCIDENTAL COMMUNITY SERVICES DISTRICT","SC",383,108,8.15," $76,932.00 ",35.3,"Bin A",2.03342375548695,76932,4
"633","CA4900850","BODEGA WATER COMPANY","SC",77,38,8.15," $76,932.00 ",35.3,"Bin A",1.57978359661681,76932,4
"634","CA1000298","WOODWARD BLUFFS MHP","SC",300,172,7.35," $92,143.00 ",35.3,"Bin A",2.23552844690755,92143,4
"635","CA4010011","MORRO BAY PW DEPT - WATER DIVISION","C1",10234,5532,11.37," $69,327.81 ",35.3,"Bin C",3.74288217143727,69327.81,1
"636","CA4910021","BODEGA BAY PUBLIC UTILITY DISTRICT","C1",1435,1060,8.1," $76,386.48 ",35.26,"Bin B",3.02530586526477,76386.48,1
"637","CA4400642","CATHEDRAL WOOD MUTUAL WATER COMPANY","SC",60,20,4.99," $147,413.44 ",35.25,"Bin A",1.30102999566398,147413.44,4
"638","CA2700771","SPRINGFIELD WATER COMPANY","SC",200,42,39.79," $60,682.84 ",35.23,"Bin A",1.6232492903979,60682.84,4
"639","CA3610112","HELENDALE COMMUNITY SERVICE DISTRICT","C1",6510,2826,42.43," $45,260.35 ",35.22,"Bin B",3.45117215751254,45260.35,1
"640","CA3900844","COUNTRY MANOR MHP","SC",75,37,21.25," $72,043.00 ",35.2,"Bin A",1.56820172406699,72043,4
"641","CA3901217","HAYNES BOARD & CARE HOME","SC",41,15,21.25," $72,043.00 ",35.2,"Bin A",1.17609125905568,72043,4
"642","CA3901276","HANOT FOUNDATION INC","SC",38,15,21.25," $72,043.00 ",35.2,"Bin A",1.17609125905568,72043,4
"643","CA5310002","TRINITY CO. W.W. DIST #1","DAVCS",1775,580,9.02," $29,542.00 ",35.2,"Bin A",2.76342799356294,29542,3
"644","CA1010006","CITY OF FOWLER","C1",5801,1784,55.62," $50,827.28 ",35.18,"Bin B",3.2513948500401,50827.28,1
"645","CA3410003","GOLDEN STATE WATER CO - ARDEN WATER SERV","C1",5154,1714,25.3," $52,389.63 ",35.15,"Bin B",3.23401081758718,52389.63,1
"646","CA4510007","COTTONWOOD COUNTY WATER DIST.","C1",3316,1226,20.81," $47,272.58 ",35.11,"Bin B",3.0884904701824,47272.58,1
"647","CA5610011","SANTA PAULA WATER SYSTEM","C1",29321,7508,25.15," $50,851.54 ",35.11,"Bin D",3.87552426394931,50851.54,1
"648","CA3301011","STONE CREEK WATER CO.","SC",134,50,27.59," $56,000.00 ",35.1,"Bin A",1.69897000433602,56000,4
"649","CA4400617","SUMMIT WEST MUTUAL WATER CO.","SC",400,139,4.91," $149,438.00 ",35.1,"Bin A",2.14301480025409,149438,4
"650","CA4400850","THE WILLOWS RESORT","SC",54,99,4.91," $149,438.00 ",35.1,"Bin A",1.99563519459755,149438,4
"651","CA4400559","SUMMIT MUTUAL WATER COMPANY","SC",152,54,4.91," $149,438.00 ",35.1,"Bin A",1.73239375982297,149438,4
"652","CA4400528","LAUREL COMMUNITY LEAGUE","SC",64,23,4.91," $149,438.00 ",35.1,"Bin A",1.36172783601759,149438,4
"653","CA4400595","VILLA DEL MONTE MWC","SC",375,118,4.91," $149,439.77 ",35.09,"Bin A",2.07188200730613,149439.77,4
"654","CA1910013","BELLFLOWER - SOMERSET MWC","DAVCL",46300,6937,42.85," $53,557.27 ",35.05,"Bin D",3.84117169449953,53557.27,2
"655","CA4910011","SEBASTOPOL, CITY OF","C1",7786,2936,14.54," $80,935.97 ",35.02,"Bin B",3.46775605124403,80935.97,1
"656","CA1710008","NICE MUTUAL WATER COMPANY","DAVCL",2731,1064,15.55," $43,812.70 ",35,"Bin B",3.02694162795903,43812.7,2
"657","CA1910053","HEMLOCK MUTUAL WATER CO.","SC",686,208,50.03," $65,143.00 ",35,"Bin A",2.31806333496276,65143,4
"658","CA4300581","VELLADAO MOBILE HOME PARK","SC",75,27,47.37," $58,393.00 ",35,"Bin A",1.43136376415899,58393,4
"659","CA1610002","AVENAL, CITY OF","DAVCL",13218,1953,39.63," $41,097.00 ",35,"Bin B",3.29070224328785,41097,2
"660","CA3900724","ELKHORN ESTATES WATER SYSTEM","SC",200,70,27.98," $85,905.00 ",35,"Bin A",1.84509804001426,85905,4
"661","CA3710008","FALLBROOK PUD","C1",34894,9107,20.28," $61,582.13 ",35,"Bin D",3.95937533657584,61582.13,1
"662","CA1910248","LOS ANGELES CWWD 37-ACTON","C1",6532,1410,15.32," $107,878.69 ",34.99,"Bin B",3.14921911265538,107878.69,1
"663","CA3900558","RANCHO SAN JOAQUIN WATER SYS","SC",141,51,27.98," $85,938.96 ",34.97,"Bin A",1.70757017609794,85938.96,4
"664","CA4210700","AMERICAN WATER O&M, LLC - VAFB","C1",14971,1161,19.49," $63,818.92 ",34.92,"Bin B",3.06483221973857,63818.92,1
"665","CA3310074","TEMESCAL VALLEY WATER DISTRICT","C1",18146,5662,25.56," $94,299.16 ",34.9,"Bin C",3.75296986502908,94299.16,1
"666","CA3610109","SHEEP CREEK WATER COMPANY","DAVCL",3366,1192,14.98," $54,124.14 ",34.89,"Bin B",3.07627625540422,54124.14,2
"667","CA5610039","CHANNEL ISLANDS BEACH CSD","C1",4861,1866,21.7," $85,902.42 ",34.88,"Bin B",3.27091163941048,85902.42,1
"668","CA2310005","WILLOW COUNTY WATER DISTRICT","DAVCL",3797,1070,30.57," $37,372.63 ",34.83,"Bin B",3.02938377768521,37372.63,2
"669","CA3000585","PAGE AVENUE MUTUAL WATER COMPANY","SC",115,36,36.5," $69,265.00 ",34.8,"Bin A",1.55630250076729,69265,4
"670","CA3600391","HILLCREST MOBILE ESTATES","SC",900,180,30.74," $62,310.00 ",34.8,"Bin A",2.25527250510331,62310,4
"671","CA2210001","MARIPOSA PUBLIC UTILITY DIST","DAVCS",2000,654,19.53," $47,835.00 ",34.8,"Bin A",2.81557774832427,47835,3
"672","CA2210921","WHISPERING PINES APARTMENTS","SC",74,28,19.53," $47,835.00 ",34.8,"Bin A",1.44715803134222,47835,4
"673","CA2210851","CDF & FP - MT. BULLION","SC",120,8,19.53," $47,835.00 ",34.8,"Bin A",0.903089986991944,47835,4
"674","CA3310030","PINE COVE WATER DISTRICT","C1",1250,1107,26.63," $57,625.96 ",34.79,"Bin B",3.04414762087872,57625.96,1
"675","CA4310028","SAN JOSE STATE UNIVERSITY","C1",30000,1233,29.48," $56,146.50 ",34.74,"Bin B",3.09096307659573,56146.5,1
"676","CA5010005","CITY OF MODESTO - SALIDA","C1",14530,4403,50.3," $73,974.97 ",34.72,"Bin C",3.64374868545953,73974.97,1
"677","CA5000054","MORNINGSIDE MOBILEHOME PARK","SC",67,49,33.16," $63,036.00 ",34.7,"Bin A",1.69019608002851,63036,4
"678","CA4900513","MADRONE MUTUAL WATER COMPANY","SC",76,23,23.74," $59,934.00 ",34.7,"Bin A",1.36172783601759,59934,4
"679","CA1510014","MOJAVE PUD","DAVCL",4200,1166,38.23," $41,806.62 ",34.67,"Bin B",3.066698550423,41806.62,2
"680","CA1910012","BELLFLOWER HOME GARDEN WATER COMPANY","SC",1129,342,46.59," $53,951.89 ",34.67,"Bin A",2.53402610605613,53951.89,4
"681","CA4510002","MOUNTAIN GATE C.S.D.","DAVCS",2227,666,10.98," $42,124.91 ",34.64,"Bin A",2.8234742291703,42124.91,3
"682","CA1910075","LOS ANGELES CWWD 21-KAGEL CANYON","SC",547,245,36.04," $84,245.97 ",34.6,"Bin A",2.38916608436453,84245.97,4
"683","CA2010016","RIVERSTONE/ROOTCREEK WATER DISTRICT","SC",1478,483,46.94," $67,568.00 ",34.6,"Bin A",2.68394713075151,67568,4
"684","CA2010009","BAKMAN WATER-ROLLING HILLS","SC",1106,335,46.94," $67,568.00 ",34.6,"Bin A",2.52504480703685,67568,4
"685","CA2000728","MD 37 LA VINA","SC",350,100,46.94," $67,568.00 ",34.6,"Bin A",2,67568,4
"686","CA2000729","MADERA CO SA16 SUMNER HILL-WATER SYSTEM","SC",135,41,46.94," $67,568.00 ",34.6,"Bin A",1.61278385671974,67568,4
"687","CA2000553","MD 28 RIPPERDAN SELF HELP","SC",48,17,46.94," $67,568.00 ",34.6,"Bin A",1.23044892137827,67568,4
"688","CA2000727","MD 36 EASTIN ARCOLA","SC",80,16,46.94," $67,568.00 ",34.6,"Bin A",1.20411998265592,67568,4
"689","CA2000785","VALLEY TEEN RANCH","SC",50,4,46.94," $67,568.00 ",34.6,"Bin A",0.602059991327962,67568,4
"690","CA5400819","MOUNTAIN VIEW MHP","SC",44,24,44.44," $51,417.00 ",34.6,"Bin A",1.38021124171161,51417,4
"691","CA2800548","SILVERADO PINES MOBILE HOME","SC",255,1,38.02," $72,218.00 ",34.6,"Bin A",0,72218,4
"692","CA4200842","SAINT MARIE MHP","SC",250,80,33.17," $59,269.00 ",34.6,"Bin A",1.90308998699194,59269,4
"693","CA5500120","49ER TRAILER RANCH","DAVCS",121,80,26.96," $38,750.00 ",34.6,"Bin A",1.90308998699194,38750,3
"694","CA5500149","COLUMBIA MOBILE HOME PARK","DAVCS",88,63,26.96," $38,750.00 ",34.6,"Bin A",1.79934054945358,38750,3
"695","CA5500128","GOLD RUSH MOBILE HOME PARK","SC",67,53,26.96," $38,750.00 ",34.6,"Bin A",1.72427586960079,38750,4
"696","CA5500243","RAMBLING HILLS ESTATES","SC",78,38,26.96," $38,750.00 ",34.6,"Bin A",1.57978359661681,38750,4
"697","CA1900721","TERRA NOVA MOBILE HOME PARK","SC",140,75,20.21," $37,321.00 ",34.6,"Bin A",1.8750612633917,37321,4
"698","CA3110036","NORTH TAHOE PUD - DOLLAR COVE","SC",800,273,6.32," $59,514.43 ",34.6,"Bin A",2.43616264704076,59514.43,4
"699","CA4210001","CARPINTERIA VALLEY WATER DISTRICT","C1",15346,3992,16.82," $80,371.71 ",34.57,"Bin C",3.60119053261533,80371.71,1
"700","CA4810001","CITY OF BENICIA","C1",28000,9814,15.45," $104,831.00 ",34.56,"Bin D",3.9918460536449,104831,1
"701","CA4410014","SAN LORENZO VALLEY WATER DIST","C1",21145,5868,7.83," $96,625.15 ",34.54,"Bin C",3.76849010517124,96625.15,1
"702","CA5601401","KROTONA INSTITUTE","SC",31,26,18.07," $72,500.00 ",34.5,"Bin A",1.41497334797082,72500,4
"703","CA5610005","MEINERS OAKS CWD","C1",4200,1248,18.06," $72,503.93 ",34.49,"Bin B",3.09621458534641,72503.93,1
"704","CA2702466","SAN VICENTE MWC","SC",69,30,26.18," $64,419.87 ",34.48,"Bin A",1.47712125471966,64419.87,4
"705","CA1910047","HAWTHORNE-CITY WATER DEPT.","C1",44649,6219,45.86," $49,406.29 ",34.46,"Bin C",3.79372055681352,49406.29,1
"706","CA3710018","RINCON DEL DIABLO MWD (ID-1)","C1",27255,6971,17.58," $75,831.47 ",34.45,"Bin D",3.84329508273651,75831.47,1
"707","CA4910016","COTATI, CITY OF","C1",7535,2663,16.02," $71,024.82 ",34.41,"Bin B",3.42537116643894,71024.82,1
"708","CA5403043","YETTEM WATER SYSTEM","DAVCS",350,66,40.93," $36,565.00 ",34.4,"Bin A",1.81954393554187,36565,3
"709","CA3710036","BORREGO WD","C1",3429,2047,23.87," $39,761.00 ",34.4,"Bin B",3.31111784266251,39761,1
"710","CA3701184","BUTTERFIELD RANCH","SC",350,75,23.87," $39,761.00 ",34.4,"Bin A",1.8750612633917,39761,4
"711","CA3700291","OCOTILLO OASIS MOBILE HOME PARK","SC",100,55,23.87," $39,761.00 ",34.4,"Bin A",1.74036268949424,39761,4
"712","CA4900871","DE ANZA MOON VALLEY WATER COMPANY","SC",691,247,15.45," $68,913.00 ",34.4,"Bin A",2.39269695325967,68913,4
"713","CA5601117","SENIOR CANYON MUTUAL WATER CO","SC",800,224,12.95," $73,447.00 ",34.4,"Bin A",2.35024801833416,73447,4
"714","CA3610030","MARIANA RANCHOS CWD","SC",1386,420,23.61," $47,001.52 ",34.39,"Bin A",2.6232492903979,47001.52,4
"715","CA3310026","NUEVO WATER COMPANY","C1",6447,1895,38.88," $59,230.12 ",34.39,"Bin B",3.27760921430409,59230.12,1
"716","CA2910006","NEVADA ID - LOMA RICA","C1",13976,4921,6.53," $75,017.42 ",34.34,"Bin C",3.69205336503408,75017.42,1
"717","CA2910011","PLAVADA COMMUNITY ASSOCIATION","SC",359,255,17.09," $47,609.00 ",34.3,"Bin A",2.40654018043396,47609,4
