"","Water.System.No.","Unnamed","Regulating.Agency","System.Name","Fed.Type","State.Type","DS.Class","Max.TP.Class","Fee.Code","SC","Pop","Last.SNSV","tag","log.SC"
"158",5000005,1001,"LPA80 - STANISLAUS COUNTY","CROWS LANDING COMM SVC DISTRICT","C","C","D1","There are no treatment plants","SC",138,500,"5/22/2019","Bin A",2.13987908640124
"159",4300771,1100,"DISTRICT 17 - SANTA CLARA","NEW AVENUE MUTUAL WATER COMPANY","C","C","D1","T1","SC",108,269,"5/8/2019","Bin A",2.03342375548695
"160",3301031,910,"DISTRICT 20 - RIVERSIDE","BANNING HTS. MUTUAL WATER CO.","C","C","D2","T2","SC",173,561,"12/18/2018","Bin A",2.2380461031288
"161",2010012,1178,"DISTRICT 11 - MERCED","CAL AM - RAYMOND","C","C","D1","T3","DAVCS",93,307,"10/23/2018","Bin A",1.96848294855394
"162",3301990,1080,"LPA63 - RIVERSIDE COUNTY","AMEZCUA - GARCIA WATER","C","C","D1","There are no treatment plants","SC",113,316,"1/16/2019","Bin A",2.05307844348342
"163",3510004,456,"DISTRICT 05 - MONTEREY","AROMAS WATER DISTRICT","C","C","D2","T1","SC",964,2988,"11/1/2019","Bin A",2.98407703390283
"164",2410700,1013,"DISTRICT 11 - MERCED","CASTLE AIRPORT","C","C","D2","TD","SC",134,1650,"10/11/2017","Bin A",2.12710479836481
"165",2700663,2101,"LPA57 - MONTEREY COUNTY","MURPHY HILL WS #02","C","C","D1","There are no treatment plants","SC",20,60,"8/22/2017","Bin A",1.30102999566398
"166",1500525,1331,"DISTRICT 19 - TEHACHAPI","LAKEVIEW RANCHOS MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",71,120,"2/2/2018","Bin A",1.85125834871908
"167",4300578,2270,"DISTRICT 17 - SANTA CLARA","ANGELO LANE WATER COMPANY","C","C","D1","There are no treatment plants","SC",15,52,"11/6/2018","Bin A",1.17609125905568
"168",3301267,894,"LPA63 - RIVERSIDE COUNTY","FISHERMAN'S RETREAT","C","C","D1","There are no treatment plants","SC",180,52,"12/21/2018","Bin A",2.25527250510331
"169",1502383,2205,"DISTRICT 12 - VISALIA","NORD ROAD WATER ASSOCIATION","C","C","D1","T1","SC",16,32,"11/16/2018","Bin A",1.20411998265592
"170",4200804,2193,"LPA72 - SANTA BARBARA COUNTY","WALKING M RANCHES","C","C","D1","TD","SC",17,54,"5/23/2018","Bin A",1.23044892137827
"171",1510046,630,"DISTRICT 12 - VISALIA","LOST HILLS UTILITY DISTRICT","C","C","D2","T2","SC",437,2412,"12/7/2018","Bin A",2.64048143697042
"172",1500507,1817,"DISTRICT 12 - VISALIA","ST. CLAIR RANCHOS MUTUAL WATER CO.","C","C","D1","TD","SC",32,105,"12/4/2018","Bin A",1.50514997831991
"173",1500393,1230,"DISTRICT 19 - TEHACHAPI","RAINBIRD VALLEY MUTUAL WATER COMPANY","C","C","D1","TD","SC",85,238,"6/20/2018","Bin A",1.92941892571429
"174",5510004,652,"DISTRICT 11 - MERCED","PINECREST PERMITTEES ASSN","C","C","D2","T2","SC",390,1253,"9/14/2018","Bin A",2.5910646070265
"175",3900835,2056,"LPA69 - SAN JOAQUIN COUNTY","WAYSIDE MOTEL APARTMENTS WTR SYS","C","C","D1","There are no treatment plants","SC",22,70,"6/4/2019","Bin A",1.34242268082221
"176",5400604,2289,"DISTRICT 24 - TULARE","MOUNTAIN VIEW DUPLEXES","C","C","D1","There are no treatment plants","SC",14,103,"6/28/2018","Bin A",1.14612803567824
"177",4300770,1805,"DISTRICT 17 - SANTA CLARA","THREE SPRINGS RANCH MUTUAL WATER COMPANY","C","C","D1","TD","SC",33,110,"5/17/2018","Bin A",1.51851393987789
"178",1900809,928,"LPA49 - LA COUNTY","LANDALE MUTUAL WATER COMPANY","C","C","D1","T1","SC",166,752,"1/29/2019","Bin A",2.22010808804005
"179",4400642,2111,"DISTRICT 05 - MONTEREY","CATHEDRAL WOOD MUTUAL WATER COMPANY","C","C","D1","T2","SC",20,60,"12/11/2019","Bin A",1.30102999566398
"180",4900892,2011,"DISTRICT 18 - SONOMA","SUMMIT VIEW RANCH MUTUAL WATER CO.","C","C","D1","T1","SC",24,45,"10/10/2012","Bin A",1.38021124171161
"181",800555,835,"DISTRICT 01 - KLAMATH","GASQUET C.S.D.","C","C","D1","T2","SC",210,775,"8/16/2019","Bin A",2.32221929473392
"182",2801016,2383,"LPA58 - NAPA COUNTY","HESS WINERY","C","C","D1","T2","SC",1,100,"6/5/2020","Bin A",0
"183",810002,562,"DISTRICT 01 - KLAMATH","SMITH RIVER C.S.D.","C","C","D2","TD","DAVCS",582,2568,"8/15/2019","Bin A",2.76492298464989
"184",4300525,1527,"DISTRICT 17 - SANTA CLARA","MELODY WOODS WATER COMPANY","C","C","D1","T1","SC",51,168,"1/31/2019","Bin A",1.70757017609794
"185",3200138,1487,"LPA62 - PLUMAS COUNTY","MEADOW EDGE MHP","C","C","D1","There are no treatment plants","SC",54,53,"4/24/2018","Bin A",1.73239375982297
"186",1910012,683,"DISTRICT 16 - CENTRAL","BELLFLOWER HOME GARDEN WATER COMPANY","C","C","D1","There are no treatment plants","SC",342,1129,"9/27/2018","Bin A",2.53402610605613
"187",2210901,1158,"DISTRICT 11 - MERCED","MPWD-COULTERVILLE CSA 1","C","C","D1","There are no treatment plants","SC",98,193,"12/7/2017","Bin A",1.99122607569249
"188",4900570,1083,"DISTRICT 18 - SONOMA","PALOMINO LAKES MUTUAL WATER CO.","C","C","D1","T1","SC",113,250,"6/21/2018","Bin A",2.05307844348342
"189",4900536,1103,"DISTRICT 18 - SONOMA","OCCIDENTAL COMMUNITY SERVICES DISTRICT","C","C","D1","T1","SC",108,383,"5/22/2019","Bin A",2.03342375548695
"190",1300555,1341,"LPA43 - IMPERIAL COUNTY","MITCHELLS CAMP FAMILY ASSOC.","C","C","D1","There are no treatment plants","SC",70,175,"5/6/2019","Bin A",1.84509804001426
"191",4410008,597,"DISTRICT 05 - MONTEREY","MT. HERMON ASSOCIATION, INC.","C","C","D2","TD","SC",494,2400,"3/25/2019","Bin A",2.69372694892365
"192",1500575,1415,"DISTRICT 12 - VISALIA","SAN JOAQUIN ESTATES MUTUAL WATER COMPANY","C","C","D1","TD","SC",61,165,"11/19/2019","Bin A",1.78532983501077
"193",1300514,1046,"LPA43 - IMPERIAL COUNTY","COYOTE VALLEY MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",124,125,"12/12/2019","Bin A",2.09342168516224
"194",1210022,546,"DISTRICT 01 - KLAMATH","RESORT IMPROVEMENT DISTRICT #1","C","C","D2","Missing treatment classification in SDWIS","SC",620,1500,"1/17/2019","Bin A",2.79239168949825
"195",4300740,2169,"DISTRICT 17 - SANTA CLARA","MOUNTAIN SPRINGS MUTUAL WATER COMPANY","C","C","D1","T1","SC",18,37,"10/12/2018","Bin A",1.25527250510331
"196",300053,1982,"DISTRICT 10 - STOCKTON","RANCHO DEL ORO","C","C","D1","There are no treatment plants","SC",24,44,"11/3/2018","Bin A",1.38021124171161
"197",3900701,1748,"LPA69 - SAN JOAQUIN COUNTY","CURRIER ESTATES WATER CORP","C","C","D1","There are no treatment plants","SC",37,148,"1/24/2019","Bin A",1.56820172406699
"198",3110041,629,"DISTRICT 02 - LASSEN","MIDWAY HEIGHTS C. W. D.","C","C","D2","There are no treatment plants","SC",438,1080,"8/15/2018","Bin A",2.6414741105041
"199",3900733,1847,"LPA69 - SAN JOAQUIN COUNTY","COUNTRY CLUB VISTA MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",31,75,"12/18/2017","Bin A",1.49136169383427
"200",2701888,1999,"LPA57 - MONTEREY COUNTY","CACHAGUA MUTUAL WS (#4)","C","C","D1","There are no treatment plants","SC",24,55,"11/20/2018","Bin A",1.38021124171161
"201",4000803,2109,"LPA70 - SAN LUIS OBISPO COUNTY","RANCHO SALINAS MBWC","C","C","D1","TD","SC",20,50,"6/26/2018","Bin A",1.30102999566398
"202",2000849,1728,"LPA50 - MADERA COUNTY","MD 60 DILLON ESTATES","C","C","D1","There are no treatment plants","SC",38,150,"9/13/2019","Bin A",1.57978359661681
"203",4300832,2368,"DISTRICT 17 - SANTA CLARA","SOUTH COUNTY RETIREMENT HOME","C","C","D1","TD","SC",3,46,"11/13/2018","Bin A",0.477121254719662
"204",2701820,2132,"LPA57 - MONTEREY COUNTY","CORDA RD WS","C","C","D1","There are no treatment plants","SC",19,60,"7/11/2017","Bin A",1.27875360095283
"205",4010003,522,"DISTRICT 06 - SANTA BARBARA","SAN MIGUELITO MWC","C","C","D2","T1","SC",688,1758,"8/27/2019","Bin A",2.83758843823551
"206",2000511,2098,"LPA50 - MADERA COUNTY","MD 85 VALETA","C","C","D1","There are no treatment plants","SC",20,45,"9/17/2019","Bin A",1.30102999566398
"207",4900850,1738,"DISTRICT 18 - SONOMA","BODEGA WATER COMPANY","C","C","D1","T2","SC",38,77,"8/20/2013","Bin A",1.57978359661681
"208",5304502,1674,"DISTRICT 01 - KLAMATH","SALYER HEIGHTS W.S., INC","C","C","D1","T2","DAVCS",42,135,"2/6/2018","Bin A",1.6232492903979
"209",4510013,605,"DISTRICT 02 - LASSEN","SHASTA C.S.D.","C","C","D2","T3","DAVCS",480,1584,"12/20/2019","Bin A",2.68124123737559
"210",1410502,2278,"DISTRICT 13 - SAN BERNARDINO","NPS - DEATH VALLEY, STOVEPIPE WELLS","C","C","D1","T2","SC",14,175,"11/29/2016","Bin A",1.14612803567824
"211",1000378,944,"DISTRICT 23 - FRESNO","SUNSET WEST COMMUNITY LLC","C","C","D1","There are no treatment plants","SC",159,350,"6/12/2019","Bin A",2.20139712432045
"212",5301017,1753,"DISTRICT 01 - KLAMATH","RUSH CREEK MUTUAL WATER SYSTEM","C","C","D1","T2","SC",37,104,"4/17/2019","Bin A",1.56820172406699
"213",1400034,2067,"LPA44 - INYO COUNTY","KEOUGH'S HOT SPRINGS","C","C","D1","There are no treatment plants","SC",21,75,"6/21/2017","Bin A",1.32221929473392
"214",3301682,1786,"LPA63 - RIVERSIDE COUNTY","TRAILS END MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",34,52,"12/12/2017","Bin A",1.53147891704226
"215",610001,448,"DISTRICT 21 - VALLEY","ARBUCKLE PUBLIC UTILITY DISTRICT","C","C","D2","TD","DAVCS",1002,2778,"6/17/2020","Bin A",3.00086772153123
"216",2800625,808,"DISTRICT 03 - MENDOCINO","ADVENTIST HEALTH - ST. HELENA HOSPITAL","C","C","D1","T1","SC",227,860,"3/11/2019","Bin A",2.35602585719312
"217",1400072,1797,"LPA44 - INYO COUNTY","NORTH LONE PINE MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",33,70,"4/26/2012","Bin A",1.51851393987789
"218",4400608,1036,"DISTRICT 05 - MONTEREY","FOREST SPRINGS","C","C","D1","There are no treatment plants","SC",126,385,"4/26/2018","Bin A",2.10037054511756
"219",4900575,2318,"DISTRICT 18 - SONOMA","LOCH HAVEN MUTUAL WATER COMPANY","C","C","D1","T1","SC",12,26,"6/13/2017","Bin A",1.07918124604762
"220",310019,1468,"DISTRICT 10 - STOCKTON","AWA LA MEL HEIGHTS #3","C","C","D1","T1","SC",55,188,"4/26/2019","Bin A",1.74036268949424
"221",2300506,1769,"DISTRICT 03 - MENDOCINO","MEADOW ESTATES MUTUAL","C","C","D1","T1","SC",35,100,"5/30/2019","Bin A",1.54406804435028
"222",1000199,2374,"DISTRICT 23 - FRESNO","FOWLER CARE CENTER","C","C","D1","T2","SC",1,46,"8/21/2018","Bin A",0
"223",2702409,1845,"LPA57 - MONTEREY COUNTY","EL CAMINO WC INC","C","C","D1","There are no treatment plants","SC",31,90,"10/13/2016","Bin A",1.49136169383427
"224",5510852,2322,"DISTRICT 11 - MERCED","CAL FIRE BASELINE CONSERVATION CAMP","C","C","D1","T2","SC",12,150,"11/27/2018","Bin A",1.07918124604762
"225",1009039,2309,"DISTRICT 23 - FRESNO","PAPPAS & CO (MENDOTA)","C","C","D1","T2","SC",12,25,"4/20/2018","Bin A",1.07918124604762
"226",2701423,2218,"LPA57 - MONTEREY COUNTY","ECHO VALLEY RD WS #05","C","C","D1","There are no treatment plants","SC",16,45,"8/12/2016","Bin A",1.20411998265592
"227",2700536,2211,"LPA57 - MONTEREY COUNTY","CORRAL DE TIERRA ESTATES WC","C","C","D1","There are no treatment plants","SC",16,45,"4/4/2016","Bin A",1.20411998265592
"228",1910249,619,"DISTRICT 22 - ANGELES","WHITE FENCE FARMS MWC NO. 1","C","C","D2","T2","SC",454,1145,"7/26/2019","Bin A",2.6570558528571
"229",5610039,308,"DISTRICT 06 - SANTA BARBARA","CHANNEL ISLANDS BEACH CSD","C","C","D2","There are no treatment plants","C1",1866,4861,"5/16/2019","Bin B",3.27091163941048
"230",3610062,196,"DISTRICT 13 - SAN BERNARDINO","RUNNING SPRINGS WATER DISTRICT","C","C","D2","T2","C1",2999,4862,"9/19/2012","Bin B",3.47697646575953
"231",5410006,195,"DISTRICT 24 - TULARE","LINDSAY, CITY OF","C","C","D3","T3","DAVCL",3040,14415,"12/20/2019","Bin B",3.48287358360875
"232",1710003,209,"DISTRICT 03 - MENDOCINO","HIGHLANDS MUTUAL WATER COMPANY","C","C","D2","T4","DAVCL",2877,9494,"12/9/2016","Bin B",3.45893986189033
"233",2310005,438,"DISTRICT 03 - MENDOCINO","WILLOW COUNTY WATER DISTRICT","C","C","D3","T1","DAVCL",1070,3797,"6/4/2019","Bin B",3.02938377768521
"234",1910085,297,"DISTRICT 16 - CENTRAL","MAYWOOD MUTUAL WATER CO. #2","C","C","D2","T2","C1",1924,7118,"8/14/2018","Bin B",3.28420506770179
"235",4910011,204,"DISTRICT 18 - SONOMA","SEBASTOPOL, CITY OF","C","C","D2","T2","C1",2936,7786,"5/24/2017","Bin B",3.46775605124403
"236",1610002,292,"DISTRICT 12 - VISALIA","AVENAL, CITY OF","C","C","D3","T3","DAVCL",1953,13218,"8/6/2019","Bin B",3.29070224328785
"237",4110010,338,"DISTRICT 17 - SANTA CLARA","MONTARA WATER AND SANITARY DISTRICT","C","C","D2","T3","C1",1664,5289,"6/14/2018","Bin B",3.22115332195471
"238",3310019,343,"DISTRICT 20 - RIVERSIDE","IDYLLWILD WATER DISTRICT","C","C","D2","T2","C1",1649,2500,"12/10/2018","Bin B",3.21722065564452
"239",4910008,398,"DISTRICT 18 - SONOMA","RUSSIAN RIVER COUNTY WATER DISTRICT","C","C","D2","T1","C1",1253,4150,"5/21/2014","Bin B",3.09795107099415
"240",3610705,181,"DISTRICT 13 - SAN BERNARDINO","US ARMY FORT IRWIN","C","C","D4","T3","C1",3315,16000,"3/24/2016","Bin B",3.52048353274079
"241",1010025,236,"DISTRICT 23 - FRESNO","CITY OF PARLIER","C","C","D3","TD","DAVCL",2580,15250,"3/22/2019","Bin B",3.41161970596323
"242",3710044,442,"DISTRICT 14 - SAN DIEGO","RINCON DEL DIABLO MWD (ID-A)","C","C","D4","There are no treatment plants","C1",1059,2700,"4/4/2017","Bin B",3.02489596010748
"243",3010047,242,"DISTRICT 08 - SANTA ANA","GOLDEN STATE WC - COWAN HEIGHTS","C","C","D3","TD","C1",2520,7224,"4/17/2018","Bin B",3.40140054078154
"244",410008,193,"DISTRICT 21 - VALLEY","THERMALITO WATER & SEWER DIST","C","C","D2","T3","DAVCL",3059,10095,"4/17/2020","Bin B",3.48557947698468
"245",3610114,404,"DISTRICT 13 - SAN BERNARDINO","CLAWA","C","C","D3","T3","C1",1223,2320,"9/25/2018","Bin B",3.08742645703629
"246",4210024,375,"DISTRICT 06 - SANTA BARBARA","LA CUMBRE MUTUAL WATER CO","C","C","D3","T1","C1",1436,4861,"9/18/2018","Bin B",3.15715443990628
"247",1910165,379,"DISTRICT 07 - HOLLYWOOD","VALLEY VIEW MUTUAL WATER CO.","C","C","D2","TD","DAVCL",1389,4571,"11/8/2017","Bin B",3.14270224573762
"248",3110001,186,"DISTRICT 02 - LASSEN","NORTH TAHOE PUD - MAIN","C","C","D2","T2","C1",3261,5300,"9/25/2017","Bin B",3.51335079880596
"249",2710009,228,"DISTRICT 05 - MONTEREY","CWSC KING CITY","C","C","D3","T1","C1",2701,14441,"4/4/2017","Bin B",3.43152458418745
"250",5410019,432,"DISTRICT 24 - TULARE","IVANHOE PUBLIC UTILITY DIST","C","C","D2","There are no treatment plants","DAVCL",1118,4495,"4/9/2020","Bin B",3.0484418035504
"251",1310800,289,"DISTRICT 14 - SAN DIEGO","CALIPATRIA STATE PRISON","C","C","D2","T2","C1",2001,4800,"3/18/2015","Bin B",3.30124708863621
"252",510002,306,"DISTRICT 10 - STOCKTON","CALAVERAS PUD","C","C","D2","T3","DAVCL",1895,6254,"8/28/2018","Bin B",3.27760921430409
"253",3310033,287,"DISTRICT 20 - RIVERSIDE","SANTA ANA RIVER WATER COMPANY","C","C","D2","Operator is not required","C1",2031,6613,"8/17/2020","Bin B",3.30770992340481
"254",5010006,279,"DISTRICT 10 - STOCKTON","CITY OF WATERFORD","C","C","D2","T2","C1",2112,8788,"3/5/2019","Bin B",3.32469391386177
"255",4710011,197,"DISTRICT 01 - KLAMATH","YREKA, CITY OF","C","C","D2","T3","DAVCL",2993,7290,"10/24/2019","Bin B",3.47610671684019
"256",3310030,434,"DISTRICT 20 - RIVERSIDE","PINE COVE WATER DISTRICT","C","C","D2","T1","C1",1107,1250,"9/20/2016","Bin B",3.04414762087872
"257",1710021,411,"DISTRICT 03 - MENDOCINO","LAKE COUNTY CSA 21 - NORTH LAKEPORT","C","C","D2","T3","DAVCL",1196,2759,"11/13/2018","Bin B",3.07773117965239
"258",1910086,288,"DISTRICT 16 - CENTRAL","MAYWOOD MUTUAL WATER CO. #3","C","C","D2","TD","C1",2014,9500,"9/11/2018","Bin B",3.3040594662176
"259",2410010,231,"DISTRICT 11 - MERCED","WINTON WATER & SANITARY DIST","C","C","D2","TD","DAVCL",2667,9500,"9/9/2019","Bin B",3.42602301568988
"260",1910108,341,"DISTRICT 15 - METROPOLITAN","CITY OF BELL GARDENS","C","C","D2","T2","DAVCL",1658,4074,"7/17/2018","Bin B",3.21958452621425
"261",1910163,335,"DISTRICT 16 - CENTRAL","VALENCIA HEIGHTS WATER CO.","C","C","D3","T2","C1",1677,7775,"10/18/2018","Bin B",3.22453306260609
"262",1910167,435,"DISTRICT 15 - METROPOLITAN","VERNON-CITY, WATER DEPT.","C","C","D4","T1","C1",1104,30000,"3/4/2020","Bin B",3.04296907339318
"263",3910010,322,"DISTRICT 10 - STOCKTON","SAN JOAQUIN COUNTY - LINCOLN VILLAGE","C","C","D2","There are no treatment plants","C1",1795,5924,"6/19/2018","Bin B",3.25406445291434
"264",1310801,290,"DISTRICT 14 - SAN DIEGO","CENTINELA STATE PRISON","C","C","D2","T3","C1",2001,4600,"5/28/2015","Bin B",3.30124708863621
"265",3310017,200,"DISTRICT 20 - RIVERSIDE","SOUTH MESA WC","C","C","D2","Operator is not required","C1",2974,9936,"5/15/2017","Bin B",3.47334096418594
"266",4010018,365,"DISTRICT 06 - SANTA BARBARA","GOLDEN STATE WATER COMPANY - NIPOMO","C","C","D2","T1","C1",1505,4415,"5/24/2017","Bin B",3.17753649992986
"267",1910029,312,"DISTRICT 07 - HOLLYWOOD","CITY OF INDUSTRY WATERWORKS SYSTEMS","C","C","D2","Operator is not required","C1",1856,6813,"1/11/2018","Bin B",3.26857797188284
"268",1010026,277,"DISTRICT 12 - VISALIA","PINEDALE COUNTY WATER DISTRICT","C","C","D2","TD","C1",2119,16735,"11/16/2018","Bin B",3.32613095671079
"269",3310040,417,"DISTRICT 20 - RIVERSIDE","FERN VALLEY WD","C","C","D2","T2","C1",1175,900,"12/11/2018","Bin B",3.07003786660776
"270",1910117,368,"DISTRICT 22 - ANGELES","MONTEBELLO-CITY, WATER DEPT.","C","C","D2","TD","C1",1493,8195,"8/6/2019","Bin B",3.17405980772503
"271",1910064,390,"DISTRICT 07 - HOLLYWOOD","LITTLEROCK CREEK IRRIGATION DIST.","C","C","D2","TD","DAVCL",1294,3405,"12/12/2017","Bin B",3.11193427633268
"272",1010021,301,"DISTRICT 23 - FRESNO","MENDOTA, CITY OF","C","C","D3","T2","C1",1911,11104,"6/29/2017","Bin B",3.28126068705501
"273",2710005,282,"DISTRICT 05 - MONTEREY","CASTROVILLE COMMUNITY SERVICES DISTRICT","C","C","D2","T2","DAVCL",2084,10000,"7/12/2017","Bin B",3.31889771462749
"274",3610125,183,"DISTRICT 13 - SAN BERNARDINO","SBNDO COUNTY SERVICE AREA 70J","C","C","D4","TD","C1",3300,11944,"6/3/2016","Bin B",3.51851393987789
"275",3310036,210,"DISTRICT 20 - RIVERSIDE","WESTERN MWD - MURRIETA DIVISION","C","C","D2","Operator is not required","C1",2872,12722,"6/13/2017","Bin B",3.45818443557026
"276",3310802,309,"DISTRICT 20 - RIVERSIDE","CHUCKAWALLA VALLEY STATE PRISON","C","C","D3","T3","C1",1864,7526,"8/14/2019","Bin B",3.27044590801796
"277",2410008,329,"DISTRICT 11 - MERCED","CAL AM - MEADOWBROOK","C","C","D2","TD","C1",1709,5640,"12/12/2017","Bin B",3.23274206272074
"278",2310006,363,"DISTRICT 03 - MENDOCINO","MILLVIEW COUNTY WATER DISTRICT","C","C","D3","T3","C1",1534,5500,"3/14/2018","Bin B",3.18582535961296
"279",5310001,347,"DISTRICT 01 - KLAMATH","WEAVERVILLE C.S.D.","C","C","D2","T3","DAVCL",1636,3600,"12/12/2017","Bin B",3.2137832993353
"280",3610085,407,"DISTRICT 13 - SAN BERNARDINO","SAN ANTONIO WATER COMPANY","C","C","D3","TD","C1",1210,3371,"8/6/2019","Bin B",3.08278537031645
"281",3110026,259,"DISTRICT 09 - SACRAMENTO","NEVADA ID - NORTH AUBURN","C","C","D2","T3","C1",2349,6671,"10/24/2018","Bin B",3.37088301677761
"282",1910060,249,"DISTRICT 16 - CENTRAL","LA PUENTE VALLEY CWD","C","C","D3","T3","C1",2449,9842,"10/29/2018","Bin B",3.38898878512471
"283",5410008,356,"DISTRICT 24 - TULARE","OROSI PUBLIC UTILITY DISTRICT","C","C","D2","TD","DAVCL",1578,8770,"11/15/2018","Bin B",3.1981069988734
"284",2710012,342,"DISTRICT 05 - MONTEREY","CWSC SALINAS HILLS","C","C","D2","T1","C1",1652,8213,"9/14/2018","Bin B",3.21801004298436
"285",3610053,265,"DISTRICT 13 - SAN BERNARDINO","WESTERN HEIGHTS WATER COMPANY","C","C","D2","T1","C1",2247,7405,"6/6/2019","Bin B",3.35160307241913
"286",3210006,334,"DISTRICT 02 - LASSEN","LAKE ALMANOR COUNTRY CLUB MWC","C","C","D1","There are no treatment plants","C1",1682,6000,"4/12/2017","Bin B",3.22582599146189
"287",1510033,324,"DISTRICT 19 - TEHACHAPI","CWS - KERNVILLE","C","C","D2","T3","C1",1779,2520,"11/13/2019","Bin B",3.25017594808393
"288",3310048,354,"DISTRICT 20 - RIVERSIDE","COACHELLA VWD: I.D. NO. 8","C","C","D3","Operator is not required","DAVCL",1586,4300,"6/4/2018","Bin B",3.20030318298158
"289",1210012,401,"DISTRICT 01 - KLAMATH","RIO DELL, CITY OF","C","C","D2","Missing treatment classification in SDWIS","C1",1233,3174,"6/16/2020","Bin B",3.09096307659573
"290",3110003,286,"DISTRICT 02 - LASSEN","FORESTHILL PUBLIC UTILITY DIST","C","C","D2","T3","DAVCL",2032,6000,"5/1/2017","Bin B",3.30792370361188
"291",3310026,307,"DISTRICT 20 - RIVERSIDE","NUEVO WATER COMPANY","C","C","D3","T2","C1",1895,6447,"3/20/2018","Bin B",3.27760921430409
"292",5610022,275,"DISTRICT 06 - SANTA BARBARA","VENTURA RIVER WATER DISTRICT","C","C","D3","T1","C1",2151,5700,"12/10/2019","Bin B",3.33264041038746
"293",3610009,348,"DISTRICT 13 - SAN BERNARDINO","BIGHORN - DESERT VIEW WATER AGENCY","C","C","D2","TD","DAVCL",1631,3086,"1/16/2020","Bin B",3.21245396104028
"294",3910003,246,"DISTRICT 10 - STOCKTON","ESCALON, CITY OF","C","C","D2","TD","C1",2495,7725,"8/22/2019","Bin B",3.39707054995941
"295",3610031,378,"DISTRICT 13 - SAN BERNARDINO","MUSCOY MWC NO. 1","C","C","D2","TD","DAVCL",1402,7500,"4/11/2013","Bin B",3.14674801363064
"296",4810800,233,"DISTRICT 04 - SAN FRANCISCO","CALIFORNIA STATE PRISON - SOLANO","C","C","D2","T3","C1",2610,9999,"12/20/2017","Bin B",3.41664050733828
"297",4910007,310,"DISTRICT 18 - SONOMA","SEA RANCH WATER COMPANY,THE (PUC)","C","C","D2","T3","C1",1864,6151,"11/29/2011","Bin B",3.27044590801796
"298",5510013,298,"DISTRICT 11 - MERCED","TUD - COLUMBIA WATER SYSTEM","C","C","D3","T3","DAVCL",1914,4352,"11/16/2017","Bin B",3.28194193344082
"299",2510001,371,"DISTRICT 01 - KLAMATH","CITY OF ALTURAS","C","C","D2","There are no treatment plants","DAVCL",1470,2537,"6/24/2019","Bin B",3.16731733474818
"300",1710002,280,"DISTRICT 03 - MENDOCINO","GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM","C","C","D2","T3","DAVCL",2104,4104,"1/8/2020","Bin B",3.3230457354817
"301",1910072,374,"DISTRICT 15 - METROPOLITAN","GSWC - WILLOWBROOK","C","C","D2","T1","C1",1441,11037,"6/13/2019","Bin B",3.15866398081399
"302",4910023,270,"DISTRICT 18 - SONOMA","CALIFORNIA-AMERICAN LARKFIELD (PUC)","C","C","D3","T2","C1",2203,7270,"3/28/2017","Bin B",3.34301449715077
"303",1910140,190,"DISTRICT 16 - CENTRAL","RUBIO CANON LAND & WATER ASSOCIATION","C","C","D3","T3","C1",3128,9600,"11/20/2019","Bin B",3.49526674438781
"304",4510007,403,"DISTRICT 02 - LASSEN","COTTONWOOD COUNTY WATER DIST.","C","C","D2","There are no treatment plants","C1",1226,3316,"10/16/2019","Bin B",3.0884904701824
"305",5510009,188,"DISTRICT 11 - MERCED","GROVELAND COMMUNITY SERV DIST","C","C","D3","T2","DAVCL",3246,3400,"11/1/2017","Bin B",3.51134851549021
"306",1510703,381,"DISTRICT 19 - TEHACHAPI","CHINA LAKE NAVAL AIR WEAPONS STATION","C","C","D3","T2","C1",1380,5000,"8/15/2018","Bin B",3.13987908640124
"307",3410033,253,"DISTRICT 09 - SACRAMENTO","FLORIN COUNTY WATER DISTRICT","C","C","D2","T1","C1",2373,7652,"11/20/2019","Bin B",3.37529773821734
"308",1010001,243,"DISTRICT 12 - VISALIA","BAKMAN WATER COMPANY","C","C","D2","T3","DAVCL",2505,16756,"12/10/2018","Bin B",3.39880773020326
"309",1910054,202,"DISTRICT 16 - CENTRAL","LA CANADA IRRIGATION DIST.","C","C","D3","TD","C1",2939,9300,"11/7/2018","Bin B",3.46819958607261
"310",4210018,315,"DISTRICT 06 - SANTA BARBARA","BUELLTON WATER DEPARTMENT","C","C","D2","T1","C1",1836,5453,"9/27/2017","Bin B",3.26387267686522
"311",3010082,263,"DISTRICT 08 - SANTA ANA","SERRANO WATER DISTRICT","C","C","D2","T3","C1",2254,5895,"12/12/2018","Bin B",3.35295391171009
"312",510001,336,"DISTRICT 10 - STOCKTON","UNION PUBLIC UTILITY DISTRICT","C","C","D2","T3","DAVCL",1667,4300,"7/17/2020","Bin B",3.22193559982801
"313",2410002,241,"DISTRICT 11 - MERCED","CITY OF DOS PALOS","C","C","D2","T3","C1",2522,7452,"12/5/2017","Bin B",3.40174508223706
"314",4010012,294,"DISTRICT 06 - SANTA BARBARA","HERITAGE RANCH CSD","C","C","D2","T3","C1",1944,3428,"5/29/2018","Bin B",3.28869626059026
