PWSID,requested,responded,voluntary,tag,Service_Connections,Population,Fee_Code,Regulating_Agency,Water_System_Name,bill_freq,bill_freq_other,submetered_YN,expense_2019_Apr,expense_2019_May,expense_2019_Jun,expense_2019_Jul,expense_2019_Aug,expense_2019_Sep,expense_2019_Oct,expense_2019_Total,revenue_2019_Apr,revenue_2019_May,revenue_2019_Jun,revenue_2019_Jul,revenue_2019_Aug,revenue_2019_Sep,revenue_2019_Oct,revenue_2019_Total,expense_2020_Apr,expense_2020_May,expense_2020_Jun,expense_2020_Jul,expense_2020_Aug,expense_2020_Sep,expense_2020_Oct,expense_2020_Total,revenue_2020_Apr,revenue_2020_May,revenue_2020_Jun,revenue_2020_Jul,revenue_2020_Aug,revenue_2020_Sep,revenue_2020_Oct,revenue_2020_Total,comments_exp_rev,cash_reserve_restricted,cash_reserve_unrestricted,cash_reserve_total,months_before_assist,loans_YN,delinquent_num_acc,delinquent_amount_dollars,comments_cash_reserves,filename
CA4310021,y,y,n,Bin B,2132,6190,C1,DISTRICT 17 - SANTA CLARA,PURISSIMA HILLS WATER DISTRICT,M,NA,NA,129438.46,234337.78,339050.14,409455.01,464075.62,502900.16,397132.46,2476389.63,381140.4,572650.4,781733.29,955194.97,902111.35,794817.03,765323.26,5152970.7,213396.7,254361.85,401023.77,482307.87,528796.13,457243.75,443564.51,2780694.58,432062.58,750254.4,881444.15,1120846.13,984213.81,892068.79,827922.39,5888812.25,Monthly expense reported only includes cost of purchased treated water.,NA,1500000,1500000,F,N,112,31283.71,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT17-SANTACLARA\Complete\Survey_DISTRICT17-CA4310021-PURISSIMAHILLSWATERDISTRICT-COMPLETE.xlsx
CA1010026,y,y,n,Bin B,2119,16735,C1,DISTRICT 12 - VISALIA,PINEDALE COUNTY WATER DISTRICT,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,466134.11,NA,NA,NA,NA,NA,NA,NA,813727.9,NA,NA,NA,NA,NA,NA,NA,408524.88,NA,NA,NA,NA,NA,NA,NA,768769.09,"Per water system, delinquencies are not COVID related.  
The monthly cells were left blank because the water system provided total amounts instead of monthly amounts.",NA,NA,1900000,F,N,178,52690.31,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT12-VISALIA\Complete\Survey_DISTRICT12-CA1010026-PINEDALECOUNTYWATERDISTRICT_Complete-LR.xlsx
CA0310002,n,NA,not.requested,Bin B,2114,6170,C1,DISTRICT 10 - STOCKTON,"AWA, IONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5010006,y,n,no.response,Bin B,2112,8788,C1,DISTRICT 10 - STOCKTON,CITY OF WATERFORD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1710002,y,n,no.response,Bin B,2104,4104,DAVCL,DISTRICT 03 - MENDOCINO,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5710005,n,y,y,Bin B,2096,7417,C1,DISTRICT 09 - SACRAMENTO,CITY OF WINTERS,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024188.7,NA,NA,NA,NA,NA,NA,NA,1075874.64,NA,NA,NA,NA,NA,NA,NA,1067589,NA,NA,NA,NA,NA,NA,NA,1074027.36,2020 Expenses are approximate as the September and October months have not been closed out at this time.,NA,NA,750000,F,N,53,80504.8,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT09-SACRAMENTO\Complete\Survey_DISTRICT09-CA5710005-CITYOFWINTERS.xlsx
CA2710005,y,y,n,Bin B,2084,10000,DAVCL,DISTRICT 05 - MONTEREY,CASTROVILLE COMMUNITY SERVICES DISTRICT,M,NA,Y,71312,78684,106236,103710,133966,63934,82988.39,640830.39,114531,98709,129229,102688,123642,119276,153834,841909,68110,62245,109416,84591,87075,70142,61166,542745,124314,111730,127035,116139,131317,139073,123348,872956,"Some apartments are submetered, some are not.

SB 998, not charging late fees.",1900000,2030000,4100000,F,N,25,0,Number of delinquent accounts has been decreasing due to more customer outreach from billing team.,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT05-MONTEREY\Complete\Survey_DISTRICT05-CA2710005-CASTROVILLECOMMUNITYSERVICESDISTRICT.xlsx
CA5010008,n,NA,not.requested,Bin B,2065,6082,DAVCL,DISTRICT 10 - STOCKTON,"HUGHSON, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710036,n,NA,not.requested,Bin B,2047,3429,C1,DISTRICT 14 - SAN DIEGO,BORREGO WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1710001,y,y,n,Bin B,2035,2359,DAVCL,DISTRICT 03 - MENDOCINO,CLEARLAKE OAKS COUNTY WATER DISTRICT,M,NA,Y,94169.76,96371.46,110998.1,100976.62,120823.16,120442.53,164168.17,807949.8,142039.98,132300.39,150239.36,189184.31,147188.13,148190.52,134814.1,1043956.79,90821.55,96821.04,116126.9,126422.4,83165.69,128313.12,141877.31,783548.01,124452.6,130290.43,183727.12,157803.99,162016.35,148276.93,159812.79,1066380.21,"For the past couple of years the water system sent all delinquent accounts to Lake County and they in turn put the amount on the tax roll. The County then sends four checks annually. In addition, July of 2019, the District brought in two capital expension fees equaling $20,000, the same goes for June of 2020.",527932.69,166518.67,694451.36,F,N,150,190000,"Cannot do a breakdown of the amounts due to software; it would send out a deficiency notice; we don't want to do that with the current mandate. It's a rough estimate on the $190,000. We do not want to run these reports in our software under current mandate.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT03-MENDOCINO\Complete\Survey_DISTRICT03-CA1710001-CLEARLAKEOAKSCOUNTYWATERDISTRICT.xlsx
CA3110003,y,y,n,Bin B,2032,6000,DAVCL,DISTRICT 02 - LASSEN,FORESTHILL PUBLIC UTILITY DIST,M,NA,N,316633,244390,453928,218339,140828,199436,185186,1758740,219542,228179,222056,243733,252909,254583,230605,1651607,225549,193207,328334,200739,208944,195088,241240,1593101,219854,233207,247664,259844,255593,262736,247953,1726851,Some months expenditures include costs that were ultimately capitalized.,1756940,2755647,4512587,F,N,355,66340,"What are we to do with customers who refuse to have their backflow prevention devices tested?  After repeated warnings we normally terminate service, but it appears we are not allowed to do this. Not testing these devices presents a health risk to the rest of the community.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT02-LASSEN\Complete\Survey_DISTRICT02-CA3110003-FORESTHILLPUBLICUTILITYDIST Complete.xlsx
CA3310033,y,y,n,Bin B,2031,6613,C1,DISTRICT 20 - RIVERSIDE,SANTA ANA RIVER WATER COMPANY,O,"The water system has two pressure zones and each pressure zone (PZ) is billed bi-monthly (once every two months) in a staggered manner. For example, January- Bill PZ 1, February- Bill PZ 2, March- Bill PZ 1, April- Bill PZ 2, and so forth.",N,351593.3,62856.26,90779.55,367031.43,82098.39,350839.71,67408.78,1372607.42,144630.43,157331.89,138370.16,190898.96,172356.36,174268.36,209273.11,1187129.27,67773.89,352650.1,58840.08,395636.15,86705.44,47822.43,312123.66,1321551.75,149607.32,134338.99,678834.91,191037.33,172436.72,160108.03,217645.63,1704008.93,"In addition to a water use bill, the water system issues an ""assessment fee"" to each customer, three times a year. The ""assessment fee"" is used to pay off a loan the water system was granted several years ago. This is included in the monthly and total reveues.

The water system's GM passed away in January 2020, affecting the operations (small water system problems). Therefore, year-on-year revenue and expenses changed significantly.",NA,NA,774587,F,N,83,30335.43,"The water system has 83 delinquent water bill accounts with a debt of $30,335.43. The water system also has 159 delinquent assessment fee bills (explained in the previous section) with a debt of $13,028.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT20-RIVERSIDE\Complete\Survey_DISTRICT20-CA3310033-SANTAANARIVERWATERCOMPANY_Complete.xlsx
CA1910086,y,y,n,Bin B,2014,9500,C1,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #3,BM,NA,N,114415.68,125373.19,106977.1,127925.12,116565.46,99721.52,129771.16,820749.23,118814.56,129256.51,124410.93,134073.83,163715.43,130849.34,171964.13,973084.73,121141.18,105786.33,159760.19,122319.42,356406.91,126224.1,185926.08,1177564.21,136725.04,144248.9,173645.04,140087.99,179616.72,149885.44,165641.96,1089851.09,"Apartments are served by single meters. Billings are BM in the billing month we show $100,000.00 revenue the balance shown in the non billing months.(February April June August October December) 2020 2 main line breaks and 8 valve replacements just short of $300,000.00 added expenses for 2020. No loans were made to cover these extra expenses. Repaired Woodlawn Avenue in Bell then replaced the Main from Randolph to Gage. Main break on Home Avenue in Bell repair and two valves replaced. Six more valves were replaced in Bell to make sure we could control shut downs. We are still waiting for the grant from Waterboard for the Prospect tank and 85 valves that need replacement. SEE AUGUST 2020 AND OCTOBER 2020 FOR ABOVE LARGE EXPENSE...",1200000,6.00E+05,1800000,E,N,32,4439.39,"The restriced amount of $1,200,000.00 is in CD's and would be available in an emergency. We have two customers that are still making payments and both are because of high water bills. We have waived all late payments and turn off fees, we notified customers they were late and needed to make payments on their bills. Two accounts 139.03 pays current bill and an additional $50.00 on the balance high water bill of $1,944.25, current balance 1,672.02, account 45.01 had two high water bills $497.75 March 1st billing and $446.92 September, Current balance $263.18 of which $239.75 is the current bill November 1st. Of the $4,439.39 late $1802.21 are the two accounts listed above.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT16-CENTRAL\Complete\Survey_DISTRICT16-CA1910086-MAYWOODMUTUALWATERCO#3-COMPLETE.xlsx
CA1310800,y,n,no.response,Bin B,2001,4800,C1,DISTRICT 14 - SAN DIEGO,CALIPATRIA STATE PRISON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1310801,y,n,no.response,Bin B,2001,4600,C1,DISTRICT 14 - SAN DIEGO,CENTINELA STATE PRISON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910218,y,y,n,Bin B,1998,5459,C1,DISTRICT 07 - HOLLYWOOD,LA HABRA HEIGHTS CWD,M,NA,N,NA,NA,NA,NA,NA,NA,NA,3279595,NA,NA,NA,NA,NA,NA,NA,3165595,NA,NA,NA,NA,NA,NA,NA,3749004,NA,NA,NA,NA,NA,NA,NA,3356141,NA,NA,NA,4070093,E,N,3,1129,None,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT07-HOLLYWOOD\Complete\Survey_DISTRICT07-CA1910218-LAHABRAHEIGHTSCWD-complete.xlsx
CA1610002,y,y,n,Bin B,1953,13218,DAVCL,DISTRICT 12 - VISALIA,"AVENAL, CITY OF",M,NA,NA,251480,149653,158743,365977,168923,221558,424074,1740408,NA,NA,NA,NA,NA,NA,NA,9388272,172689,226303,260890,388385,357945,287879,225000,1919039,NA,NA,NA,NA,NA,NA,NA,7603643,"Revenue values reflect total City revenue (water, trash, sewer). Expenses reflect water system expenses.",0,1098570,1098570,E,N,444,95877,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT12-VISALIA\Complete\Survey_DISTRICT12-CA1610002-AVENAL-CITYOF_Complete_SD.xlsx
CA1900046,n,NA,not.requested,Bin B,1952,7000,C1,DISTRICT 22 - ANGELES,PETER PITCHESS HONOR RANCHO DETN. CTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4010012,y,y,n,Bin B,1944,3428,C1,DISTRICT 06 - SANTA BARBARA,HERITAGE RANCH CSD,M,NA,NA,47104.48,53891.82,78914.94,66141.88,61318.98,61099.84,61634.79,430106.73,64457.92,76520.15,88670.49,91171,106916.76,106835.29,95958.49,630530.1,73234.33,45086.11,45451.31,48127.49,85863.11,63107.66,70728.18,431598.19,75706.66,84599.23,102774.92,107272.8,120409.92,115447.35,110466.47,716677.35,NA,NA,4771367,4771367,E,N,198,33072.31,"The water system has seen a slight increase to the number of delinquent accounts, possibly due to COVID-19 but is not entirely sure.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT06-SANTABARBARA\Complete\Survey_DISTRICT06-CA4010012-HERITAGERANCHCSD_Complete.xlsx
CA1910006,n,NA,not.requested,Bin B,1943,4096,C1,DISTRICT 16 - CENTRAL,SO. CAL. EDISON CO.-SANTA CATALINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2010010,y,y,n,Bin B,1931,6372,DAVCL,DISTRICT 11 - MERCED,MADERA VALLEY WATER COMPANY,M,NA,NA,128301,184904,119535,215223,260729,280746,282973,1472411,188854,192978,187463,177854,200888,197792,222790,1368619,128136,160829,193482,167639,174721,157998,166346,1149151,199700,193465,185617,188660,204348,187373,187147,1346310,NA,60000,107765,167765,E,N,70,185021,The delinquent accounts are those that we have liened due to non payment.  We do not shut water off for non payment.,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT11-MERCED\Complete\Survey_DISTRICT11-CA2010010-MADERAVALLEYWATERCOMPANY_Complete.xlsx
CA1910085,y,y,n,Bin B,1924,7118,C1,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #2,BM,NA,N,93947,229039,83600,146592,135816,177881,117610,984455,262853,NA,240748,NA,265138,NA,274980,1043719,159091,98221,225615,95210,121103,62351,217122,978716,248833,NA,270869,NA,289408,NA,239319,1048429,"Apartments are not sub metered and amounts are total monthly revenues. High expenses in May 2019 due to WRD loan payment of $110,940.00 and September, for water purchased from Central Basin. High expenses in June 2020 due to WRD loan payment of $110,940.00 and October, for water purchased from Central Basin.",0,320000,320000,B,N,116,30000,No specific account for capital improvements. No restrictive funds that can be used for emergency.,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT16-CENTRAL\Complete\Survey_DISTRICT16-CA1910085-MAYWOODMUTUALWATERCO#2-COMPLETE.xlsx
CA5510013,y,n,no.response,Bin B,1914,4352,DAVCL,DISTRICT 11 - MERCED,TUD - COLUMBIA WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2710007,y,y,n,Bin B,1912,8549,C1,DISTRICT 05 - MONTEREY,"GONZALES, CITY OF",M,NA,N,489450,74490.08,125338.43,29283.17,55883.42,61717.2,53517.4,889679.7,202614,160945.87,369783.43,9426.55,179817.22,200685.5,232774.4,1356046.97,43246,69200.35,122549.48,48661.79,113605.55,85875.62,83251.8,566390.59,151611,152469.14,364471.93,NA,195002.83,220932.29,210294.91,1294782.1,Revenue in July 2020 was $0 due to how the billing cycle works.,NA,NA,4387750,E,N,100,25007,"Delinquent accounts have doubled or tripled from last year/normal.
Mentioned SB988",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT05-MONTEREY\Complete\Survey_DISTRICT05-CA2710007-GONZALES-CITYOF.xlsx
CA3610850,y,n,no.response,Bin B,1912,10667,C1,DISTRICT 13 - SAN BERNARDINO,CALIFORNIA INSTITUTION FOR MEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1010021,y,y,n,Bin B,1911,11104,C1,DISTRICT 23 - FRESNO,"MENDOTA, CITY OF",M,NA,N,102834.86,260509.46,279741.49,150613.39,111145.9,173897.93,159705.99,1238449.02,151918.8,172641.57,347893.67,5850.34,209561.84,198008.17,195643.82,1281518.21,99512.8,194297.51,192543.31,202148.19,96175.32,90766.45,261348.27,1136791.85,147850.42,152229.94,509891.49,307.27,222464.39,200698.52,205990.31,1439432.34,July revenues are reflected in June due to final journal entries that are posted in the year end during the City's final audit. The revenues in June 2020 are greater due to an agreement with the Firebaugh Canal Water District paying for acre water pumped from 2014-2018.,5880215.93,1370692.07,7250908,B,N,1809,282283.67,Restricted cash is for the construction of the Mowry Bridge as part of an agreement with the Bureau of Reclamation.,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT23-FRESNO\Complete\Survey_DISTRICT23-CA1010021-MENDOTA-CITYOF_Complete.xlsx
CA1910247,n,NA,not.requested,Bin B,1909,6300,C1,DISTRICT 15 - METROPOLITAN,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610107,n,NA,not.requested,Bin B,1907,6264,C1,DISTRICT 13 - SAN BERNARDINO,GOLDEN STATE WATER CO - APPLE VLY SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2410003,n,NA,not.requested,Bin B,1904,5844,C1,DISTRICT 11 - MERCED,CITY OF GUSTINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2010005,n,NA,not.requested,Bin B,1902,6224,C1,DISTRICT 11 - MERCED,YOSEMITE SPRING PARK UTIL CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0510002,y,y,n,Bin B,1895,6254,DAVCL,DISTRICT 10 - STOCKTON,CALAVERAS PUD,M,NA,NA,21420573,146024.75,265544.84,207492.76,120364.82,187984.55,197202.3,1338819.75,146513.73,171427.89,180018.1,167318.59,204894.53,207130.82,210428.46,1141218.39,212996.87,125791.46,360676.56,186397.76,152084.04,147456.14,157447.05,1342849.88,163603.89,249783.89,297526.55,236429.49,248526.73,259633.98,192150.13,1647654.66,NA,650000,3750000,4400000,E,N,470,69754.12,"Per Water System ""The District would like to re-establish the charge of customer late fees knowing we are not able to lock off and will potentially have a long term payment plan with some customers we still go through the notification process to allow at any time for the customer to make payments without a late fee charged but this has a financial impact on the District which need to be recovered and the only way to do so would be charging the late fee.  This will be something that the board will be considering in the near future. """,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT10-STOCKTON\Complete\Survey_DISTRICT10-CA0510002-CALAVERASPUD_COMPLETE.xlsx
CA3310026,y,y,n,Bin B,1895,6447,C1,DISTRICT 20 - RIVERSIDE,NUEVO WATER COMPANY,M,NA,NA,125619,122011,133332,225200,158165,171812,162673,1098812,140067,143477,161465,170887,191020,227196,213950,1248062,124745,137720,103352,182064,151887,159540,180861,1040169,118260,117000,171290,193496,220776,229938,225016,1275776,NA,NA,NA,2938385,F,N,21,2950.75,"Nuevo WC considers all accounts as reserves for emergency expenses.  Customers have 45 days to pay their bill before they are considered delinquent.  Since Nuevo WC bills monthly, there is a 15-day overlap in billing.  Nuevo WC does not shut off water to customers that are delinquent, except in cases of non-compliance with backflow testing requirements.  In these cases, Shareholders are assessed an automatic testing fee of $400 for testing coordinated by Nuevo WC.  This automatic charge is not applied to Non-Shareholders (tenants), their services will be discontinued.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT20-RIVERSIDE\Complete\Survey_DISTRICT20-CA3310026-NUEVOWATERCOMPANY_Complete.xlsx
CA5610039,y,y,n,Bin B,1866,4861,C1,DISTRICT 06 - SANTA BARBARA,CHANNEL ISLANDS BEACH CSD,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,469920,NA,NA,NA,NA,NA,NA,NA,1189414,NA,NA,NA,NA,NA,NA,NA,538197,NA,NA,NA,NA,NA,NA,NA,1248957,NA,NA,NA,2549860,NA,N,64,23215,"Question #6:  The question is very hard to answer, with too many variables.  During the 2007-08 financial crisis, customers lost homes, tenants left, and the water system extended time windows for capital projects.  While the water system still added to its reserves, they don't know how bad it would have gotten if it continued.  The same is felt with COVID-19.  Question #8:  The water system has 64 out of 1867 accounts delinquent, and all in the one zip code zone of 93035.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT06-SANTABARBARA\Complete\Survey_DISTRICT06-CA5610039-CHANNELISLANDSBEACHCSD_Complete.xlsx
CA3310802,y,n,no.response,Bin B,1864,7526,C1,DISTRICT 20 - RIVERSIDE,CHUCKAWALLA VALLEY STATE PRISON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4910007,y,n,no.response,Bin B,1864,6151,C1,DISTRICT 18 - SONOMA,"SEA RANCH WATER COMPANY,THE (PUC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710004,n,NA,not.requested,Bin B,1861,4322,C1,DISTRICT 14 - SAN DIEGO,"DEL MAR, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910029,y,y,n,Bin B,1856,6813,C1,DISTRICT 07 - HOLLYWOOD,CITY OF INDUSTRY WATERWORKS SYSTEMS,BM,NA,N,88743,108469,177213,80188,108574,129475,110685,803347,106570,188759,114228,196524,109379,227110,129380,1071950,69214,81196,555971,89896,103887,132293,109147,1141604,99514,174655,182216,220716,102188,232784,134687,1146760,NA,0,0,0,F,N,111,27806,We are contracted with the City to operate their potable water system (CIWS). We manage and operate the water system. We do not have access to tor control any of their finances.,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT07-HOLLYWOOD\Complete\Survey_DISTRICT07-CA1910029-CITYOFINDUSTRYWATERWORKSSYSTEMS-complete.xlsx
CA0510003,n,NA,not.requested,Bin B,1847,3836,C1,DISTRICT 10 - STOCKTON,"ANGELS, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4710008,y,y,n,Bin B,1841,3642,DAVCL,DISTRICT 01 - KLAMATH,"MT. SHASTA, CITY OF",M,NA,N,57893,62690,81924,61947,68924,73490,73856,480724,48352,38273,64190,56357,72128,73111,62362,414773,55184,55081,83890,71827,57273,67721,63119,454095,37775,44044,91196,81560,67389,75577,66433,463974,"Depreciation is included in the monthly expenses. It approximates $27,500 per month. Rate increases were incurred each June, billed in July. Capital outlay is not included in expenses as they are reclassified as a fixed asset at the end of the year.  NOTE: DDW personnel (Craig Bunas) spoke by phone with City of Mt. Shasta financial personnel (Muriel Terrell) on 11/18/2020.",80358,1312546,1392904,F,N,94,26264,"There are 16 accounts that are over 90 days, There are 15 accounts that are in the 60-90 day range, There are 63 accounts that are in the 30-60 days range.  We are just now seeing people begin to struggle with paying their utility bills.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT01-KLAMATH\Complete\Complete Survey_DISTRICT01-CA4710008-MTSHASTA-CITYOF.xlsx
CA4210018,y,y,n,Bin B,1836,5453,C1,DISTRICT 06 - SANTA BARBARA,BUELLTON WATER DEPARTMENT,M,NA,NA,192005.13,210737.34,226601.33,243014,252673.46,249582.53,229127.46,1603741.25,189671.77,180796.19,307841.92,197431.38,187656.72,220949.35,270550.4,1554897.73,146080.56,150591.48,173127.89,214568.93,119977.77,155214.59,115150.44,1074711.66,171782.18,212905,247418.45,242736.51,255367.72,247165.91,235739.72,1613115.58,NA,NA,NA,4180000,D,N,103,25716.93,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT06-SANTABARBARA\Complete\Survey_DISTRICT06-CA4210018-BUELLTONWATERDEPARTMENT_partial.xlsx
CA1910018,n,NA,not.requested,Bin B,1826,5967,DAVCL,DISTRICT 16 - CENTRAL,BELLFLOWER MUNICIPAL WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5410020,n,NA,not.requested,Bin B,1813,7950,DAVCL,DISTRICT 24 - TULARE,"WOODLAKE, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1510800,y,n,no.response,Bin B,1802,5153,C1,DISTRICT 19 - TEHACHAPI,CCI - TEHACHAPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
