"","Regulating Agency","Water System No.","Water System Name","Fed Type","State Type","DS Class","Max TP Class","Fee Code","Service Connections","Last SNSV","completed","PWSID","Population","tag"
"574","DISTRICT 14 - SAN DIEGO",1310007,"HEBER PUBLIC UTILITY DISTRICT","C","C","D2","T3","DAVCL",1627,2020-02-05,"y","CA1310007",6979,"Bin B"
"575","DISTRICT 12 - VISALIA",1610700,"LEMOORE NAVAL AIR STATION","C","C","D3","T3","C1",1625,2019-12-05,"n",NA,12000,NA
"576","DISTRICT 11 - MERCED",2410012,"HILMAR COUNTY WATER DISTRICT","C","C","D2","T2","DAVCL",1616,2017-07-06,"n",NA,5197,NA
"577","DISTRICT 08 - SANTA ANA",3710700,"CAMP PENDLETON (NORTH)","C","C","D4","T2","C1",1609,2018-12-10,"n",NA,26355,NA
"578","DISTRICT 02 - LASSEN",3210004,"AMERICAN VALLEY CSD","C","C","D2","There are no treatment plants","DAVCS",1594,2016-02-17,"n",NA,4300,NA
"579","DISTRICT 20 - RIVERSIDE",3310048,"COACHELLA VWD: I.D. NO. 8","C","C","D3","Operator is not required","DAVCL",1586,2018-06-04,"y","CA3310048",4300,"Bin B"
"580","DISTRICT 22 - ANGELES",1910189,"SAN GABRIEL VALLEY WATER CO.-MONTEBELLO","C","C","D3","There are no treatment plants","C1",1582,2019-01-25,"n",NA,8646,NA
"581","DISTRICT 24 - TULARE",5410008,"OROSI PUBLIC UTILITY DISTRICT","C","C","D2","TD","DAVCL",1578,2018-11-15,"y","CA5410008",8770,"Bin B"
"582","DISTRICT 03 - MENDOCINO",1710014,"MT. KONOCTI MUTUAL WATER COMPANY","C","C","D3","T3","DAVCL",1572,2020-05-05,"n",NA,4360,NA
"583","DISTRICT 11 - MERCED",5510005,"TWAIN HARTE COMMUNITY SERVICES DISTRICT","C","C","D2","T3","DAVCL",1572,2019-08-08,"n",NA,2226,NA
"584","DISTRICT 09 - SACRAMENTO",910015,"TAHOE KEYS WATER COMPANY","C","C","D2","T2","C1",1566,2020-06-23,"n",NA,1420,NA
"585","DISTRICT 07 - HOLLYWOOD",1910046,"SUBURBAN WATER SYSTEMS-GLENDORA","C","C","D2","There are no treatment plants","C1",1559,2019-04-11,"n",NA,6543,NA
"586","DISTRICT 03 - MENDOCINO",2310009,"BROOKTRAILS TOWNSHIP CSD","C","C","D3","T3","C1",1554,2017-04-25,"n",NA,3800,NA
"587","DISTRICT 24 - TULARE",5410021,"EARLIMART PUD","C","C","D2","TD","DAVCL",1545,2020-08-03,"y","CA5410021",8800,"Bin B"
"588","DISTRICT 03 - MENDOCINO",2310006,"MILLVIEW COUNTY WATER DISTRICT","C","C","D3","T3","C1",1534,2018-03-14,"y","CA2310006",5500,"Bin B"
"589","DISTRICT 14 - SAN DIEGO",1310005,"HOLTVILLE, CITY OF","C","C","D3","T3","C1",1514,2015-03-18,"n",NA,6032,NA
"590","DISTRICT 06 - SANTA BARBARA",4010018,"GOLDEN STATE WATER COMPANY - NIPOMO","C","C","D2","T1","C1",1505,2017-05-24,"y","CA4010018",4415,"Bin B"
"591","DISTRICT 03 - MENDOCINO",2810002,"CALISTOGA, CITY OF","C","C","D3","T3","DAVCL",1500,2018-04-19,"n",NA,5610,NA
"592","DISTRICT 17 - SANTA CLARA",4310013,"STANFORD UNIVERSITY","C","C","D3","T1","C1",1494,2019-06-13,"n",NA,32218,NA
"593","DISTRICT 22 - ANGELES",1910117,"MONTEBELLO-CITY, WATER DEPT.","C","C","D2","TD","C1",1493,2019-08-06,"y","CA1910117",8195,"Bin B"
"594","DISTRICT 16 - CENTRAL",1910061,"LAS FLORES WATER CO.","C","C","D3","T2","C1",1479,2019-12-05,"n",NA,4500,NA
"595","DISTRICT 02 - LASSEN",3110009,"MEADOW VISTA CWD","C","C","D2","T3","C1",1478,2017-05-01,"y","CA3110009",4001,"Bin B"
"596","DISTRICT 01 - KLAMATH",2510001,"CITY OF ALTURAS","C","C","D2","There are no treatment plants","DAVCL",1470,2019-06-24,"y","CA2510001",2537,"Bin B"
"597","DISTRICT 11 - MERCED",5510008,"LAKE DON PEDRO CSD","C","C","D2","T2","DAVCL",1461,2019-03-13,"n",NA,3240,NA
"598","DISTRICT 21 - VALLEY",610004,"CITY OF WILLIAMS","C","C","D2","T1","DAVCL",1448,2019-05-10,"y","CA0610004",5255,"Bin B"
"599","DISTRICT 15 - METROPOLITAN",1910072,"GSWC - WILLOWBROOK","C","C","D2","T1","C1",1441,2019-06-13,"y","CA1910072",11037,"Bin B"
"600","DISTRICT 06 - SANTA BARBARA",4210024,"LA CUMBRE MUTUAL WATER CO","C","C","D3","T1","C1",1436,2018-09-18,"y","CA4210024",4861,"Bin B"
"601","DISTRICT 02 - LASSEN",4510003,"BURNEY WATER DISTRICT","C","C","D2","There are no treatment plants","DAVCL",1413,2019-09-11,"n",NA,3154,NA
"602","DISTRICT 16 - CENTRAL",1910248,"LOS ANGELES CWWD 37-ACTON","C","C","D2","T2","C1",1410,2018-10-01,"n",NA,6532,NA
"603","DISTRICT 13 - SAN BERNARDINO",3610031,"MUSCOY MWC NO. 1","C","C","D2","TD","DAVCL",1402,2013-04-11,"y","CA3610031",7500,"Bin B"
"604","DISTRICT 07 - HOLLYWOOD",1910165,"VALLEY VIEW MUTUAL WATER CO.","C","C","D2","TD","DAVCL",1389,2017-11-08,"y","CA1910165",4571,"Bin B"
"605","DISTRICT 20 - RIVERSIDE",3310082,"NORTH PERRIS WATER SYSTEM","C","C","D2","Operator is not required","C1",1389,2017-09-12,"y","CA3310082",4500,"Bin B"
"606","DISTRICT 19 - TEHACHAPI",1510703,"CHINA LAKE NAVAL AIR WEAPONS STATION","C","C","D3","T2","C1",1380,2018-08-15,"n",NA,5000,NA
"607","DISTRICT 21 - VALLEY",5210005,"RIO ALTO WATER DISTRICT","C","C","D2","There are no treatment plants","DAVCL",1360,2019-03-27,"n",NA,3281,NA
"608","DISTRICT 20 - RIVERSIDE",3310800,"CALIFORNIA REHABILITATION CENTER - NORCO","C","C","D2","Operator is not required","C1",1357,2020-08-17,"n",NA,3800,NA
"609","DISTRICT 05 - MONTEREY",4410002,"SLVWD - FELTON WATER SYSTEM","C","C","D3","T3","C1",1355,2020-07-08,"y","CA4410002",4340,"Bin B"
"610","DISTRICT 09 - SACRAMENTO",3110150,"CALAM - WEST PLACER","C","C","D2","There are no treatment plants","C1",1352,2020-03-02,"y","CA3110150",4472,"Bin B"
"611","DISTRICT 19 - TEHACHAPI",1510025,"STALLION SPRINGS CSD","C","C","D3","TD","C1",1349,2018-03-15,"n",NA,4369,NA
"612","DISTRICT 16 - CENTRAL",1910185,"LOS ANGELES CWWD 36-VAL VERDE","C","C","D3","There are no treatment plants","C1",1349,2018-10-01,"y","CA1910185",5173,"Bin B"
"613","DISTRICT 03 - MENDOCINO",2310008,"REDWOOD VALLEY COUNTY WATER DISTRICT","C","C","D2","T3","C1",1348,2019-09-05,"n",NA,5200,NA
"614","DISTRICT 10 - STOCKTON",5010009,"KEYES COMMUNITY SERVICES DIST.","C","C","D2","T2","DAVCL",1333,2019-08-09,"n",NA,5232,NA
"615","DISTRICT 07 - HOLLYWOOD",1910064,"LITTLEROCK CREEK IRRIGATION DIST.","C","C","D2","TD","DAVCL",1294,2017-12-12,"y","CA1910064",3405,"Bin B"
"616","DISTRICT 19 - TEHACHAPI",1510007,"FRAZIER PARK PUD","C","C","D2","TD","DAVCL",1287,2020-03-19,"n",NA,2691,NA
"617","DISTRICT 17 - SANTA CLARA",4110002,"CITY OF BRISBANE","C","C","D2","There are no treatment plants","C1",1279,2019-01-23,"n",NA,3189,NA
"618","DISTRICT 02 - LASSEN",4510011,"CENTERVILLE C.S.D.","C","C","D2","There are no treatment plants","DAVCL",1272,2016-11-18,"n",NA,4211,NA
"619","DISTRICT 01 - KLAMATH",4710013,"LAKE SHASTINA C.S.D","C","C","D2","There are no treatment plants","DAVCL",1272,2019-09-19,"n",NA,2400,NA
"620","DISTRICT 06 - SANTA BARBARA",4210019,"MISSION HILLS CSD","C","C","D2","T1","C1",1271,2018-04-05,"n",NA,3560,NA
"621","DISTRICT 20 - RIVERSIDE",3310046,"FARM MUTUAL W.C. (THE)","C","C","D2","T1","C1",1265,2018-06-20,"n",NA,3416,NA
"622","DISTRICT 09 - SACRAMENTO",2910002,"CITY OF NEVADA CITY","C","C","D2","T3","C1",1260,2019-09-04,"n",NA,3001,NA
"623","DISTRICT 18 - SONOMA",4910008,"RUSSIAN RIVER COUNTY WATER DISTRICT","C","C","D2","T1","C1",1253,2014-05-21,"y","CA4910008",4150,"Bin B"
"624","DISTRICT 02 - LASSEN",3210009,"CHESTER PUBLIC U.D.","C","C","D2","There are no treatment plants","DAVCL",1251,2019-11-18,"n",NA,2316,NA
"625","DISTRICT 06 - SANTA BARBARA",5610005,"MEINERS OAKS CWD","C","C","D2","T2","C1",1248,2018-02-14,"y","CA5610005",4200,"Bin B"
"626","DISTRICT 01 - KLAMATH",1210012,"RIO DELL, CITY OF","C","C","D2","Missing treatment classification in SDWIS","C1",1233,2020-06-16,"y","CA1210012",3174,"Bin B"
"627","DISTRICT 17 - SANTA CLARA",4310028,"SAN JOSE STATE UNIVERSITY","C","C","D3","There are no treatment plants","C1",1233,2019-08-30,"n",NA,30000,NA
"628","DISTRICT 02 - LASSEN",4510007,"COTTONWOOD COUNTY WATER DIST.","C","C","D2","There are no treatment plants","C1",1226,2019-10-16,"y","CA4510007",3316,"Bin B"
"629","DISTRICT 13 - SAN BERNARDINO",3610114,"CLAWA","C","C","D3","T3","C1",1223,2018-09-25,"y","CA3610114",2320,"Bin B"
"630","DISTRICT 12 - VISALIA",1610001,"ARMONA COMMUNITY SERVICES DIST","C","C","D2","T3","DAVCL",1219,2018-12-19,"n",NA,4143,NA
"631","DISTRICT 24 - TULARE",5410001,"CUTLER PUD","C","C","D2","TD","DAVCL",1218,2019-08-01,"y","CA5410001",6200,"Bin B"
"632","DISTRICT 13 - SAN BERNARDINO",3610085,"SAN ANTONIO WATER COMPANY","C","C","D3","TD","C1",1210,2019-08-06,"y","CA3610085",3371,"Bin B"
"633","DISTRICT 03 - MENDOCINO",1710005,"LUCERNE WATER CO. - CAL WATER SERVICE","C","C","D2","T4","DAVCL",1209,2019-07-30,"n",NA,2397,NA
"634","DISTRICT 08 - SANTA ANA",3010068,"EAST ORANGE COUNTY WD - RZ","C","C","D3","T1","C1",1200,2019-12-30,"n",NA,3247,NA
"635","DISTRICT 21 - VALLEY",5810004,"CITY OF WHEATLAND","C","C","D2","TD","C1",1197,2019-03-07,"n",NA,3509,NA
"636","DISTRICT 03 - MENDOCINO",1710021,"LAKE COUNTY CSA 21 - NORTH LAKEPORT","C","C","D2","T3","DAVCL",1196,2018-11-13,"y","CA1710021",2759,"Bin B"
"637","DISTRICT 13 - SAN BERNARDINO",3610109,"SHEEP CREEK WATER COMPANY","C","C","D3","TD","DAVCL",1192,2014-09-10,"n",NA,3366,NA
"638","DISTRICT 04 - SAN FRANCISCO",3810700,"PRESIDIO OF SAN FRANCISCO","C","C","D2","T3","C1",1191,2018-06-19,"y","CA3810700",3500,"Bin B"
"639","DISTRICT 01 - KLAMATH",4710002,"DUNSMUIR, CITY OF","C","C","D2","There are no treatment plants","DAVCL",1187,2020-04-01,"y","CA4710002",1923,"Bin B"
"640","DISTRICT 02 - LASSEN",3110013,"TAHOE CEDARS WATER COMPANY","C","C","D2","There are no treatment plants","C1",1180,2017-11-15,"n",NA,793,NA
"641","DISTRICT 09 - SACRAMENTO",3410045,"CALAM - ARDEN","C","C","D2","T1","C1",1178,2020-06-18,"y","CA3410045",3888,"Bin B"
"642","DISTRICT 20 - RIVERSIDE",3310040,"FERN VALLEY WD","C","C","D2","T2","C1",1175,2018-12-11,"y","CA3310040",900,"Bin B"
"643","DISTRICT 13 - SAN BERNARDINO",3610023,"GREEN VALLEY MWC","C","C","D1","TD","C1",1169,2017-05-02,"y","CA3610023",350,"Bin B"
"644","DISTRICT 19 - TEHACHAPI",1510014,"MOJAVE PUD","C","C","D2","T2","DAVCL",1166,2019-09-25,"n",NA,4200,NA
"645","DISTRICT 16 - CENTRAL",1910084,"MAYWOOD MUTUAL WATER CO. #1","C","C","D2","T1","DAVCL",1163,2018-08-30,"y","CA1910084",5500,"Bin B"
"646","DISTRICT 14 - SAN DIEGO",1310003,"GSWC-CALIPATRIA","C","C","D3","T4","C1",1161,2019-01-08,"n",NA,4425,NA
"647","DISTRICT 03 - MENDOCINO",1710007,"KELSEYVILLE CO WATERWORKS DISTRICT 3","C","C","D2","T1","DAVCL",1161,2020-02-13,"n",NA,2793,NA
"648","DISTRICT 06 - SANTA BARBARA",4210700,"AMERICAN WATER O&M, LLC - VAFB","C","C","D4","T2","C1",1161,2019-06-27,"n",NA,14971,NA
"649","DISTRICT 13 - SAN BERNARDINO",1410001,"BISHOP, CITY OF","C","C","D1","T1","DAVCL",1158,2020-08-05,"n",NA,3879,NA
"650","DISTRICT 15 - METROPOLITAN",1910255,"SANTA CLARITA VALLEY W.A.-TESORO DIV.","C","C","D2","T1","C1",1157,2018-12-04,"y","CA1910255",3818,"Bin B"
"651","DISTRICT 07 - HOLLYWOOD",1910159,"TRACT 180 MUTUAL WATER CO.","C","C","D3","TD","DAVCL",1149,2016-11-16,"y","CA1910159",14000,"Bin B"
"652","DISTRICT 10 - STOCKTON",3910017,"SAN JOAQUIN COUNTY-MOKELUMNE ACRES","C","C","D2","TD","C1",1144,2018-03-23,"n",NA,3762,NA
"653","DISTRICT 06 - SANTA BARBARA",4010081,"WOODLANDS DEVELOPMENT","C","C","D2","TD","SC",1137,2018-12-17,"y","CA4010081",2876,"Bin B"
"654","DISTRICT 19 - TEHACHAPI",1510009,"ERSKINE CREEK WC","C","C","D2","TD","C1",1136,2019-12-06,"y","CA1510009",2500,"Bin B"
"655","DISTRICT 18 - SONOMA",4910028,"SWEETWATER SPRINGS CWD - MONTE RIO","C","C","D2","T2","DAVCL",1124,2018-03-20,"n",NA,3000,NA
"656","DISTRICT 02 - LASSEN",3210003,"CITY OF PORTOLA","C","C","D2","TD","DAVCS",1123,2018-05-21,"n",NA,1970,NA
"657","DISTRICT 24 - TULARE",5410019,"IVANHOE PUBLIC UTILITY DIST","C","C","D2","There are no treatment plants","DAVCL",1118,2020-04-09,"n",NA,4495,NA
"658","DISTRICT 01 - KLAMATH",4710009,"WEED, CITY OF","C","C","D2","There are no treatment plants","DAVCL",1110,2019-07-23,"n",NA,2963,NA
"659","DISTRICT 20 - RIVERSIDE",3310030,"PINE COVE WATER DISTRICT","C","C","D2","T1","C1",1107,2016-09-20,"n",NA,1250,NA
"660","DISTRICT 15 - METROPOLITAN",1910167,"VERNON-CITY, WATER DEPT.","C","C","D4","T1","C1",1104,2020-03-04,"y","CA1910167",30000,"Bin B"
"661","DISTRICT 11 - MERCED",2410007,"PLANADA CSD","C","C","D2","TD","DAVCL",1097,2019-09-09,"n",NA,4500,NA
"662","DISTRICT 09 - SACRAMENTO",3410030,"FOLSOM, CITY OF - ASHLAND","C","C","D2","There are no treatment plants","C1",1072,2018-11-13,"y","CA3410030",3538,"Bin B"
"663","DISTRICT 03 - MENDOCINO",2310005,"WILLOW COUNTY WATER DISTRICT","C","C","D3","T1","DAVCL",1070,2019-06-04,"y","CA2310005",3797,"Bin B"
"664","DISTRICT 21 - VALLEY",5110007,"SUTTER COMMUNITY S.D.","C","C","D2","There are no treatment plants","C1",1067,2018-04-20,"n",NA,2948,NA
"665","DISTRICT 03 - MENDOCINO",1710008,"NICE MUTUAL WATER COMPANY","C","C","D2","T4","DAVCL",1064,2020-01-09,"y","CA1710008",2731,"Bin B"
"666","DISTRICT 18 - SONOMA",4910021,"BODEGA BAY PUBLIC UTILITY DISTRICT","C","C","D3","T2","C1",1060,2014-08-07,"n",NA,1435,NA
"667","DISTRICT 14 - SAN DIEGO",3710044,"RINCON DEL DIABLO MWD (ID-A)","C","C","D4","There are no treatment plants","C1",1059,2017-04-04,"y","CA3710044",2700,"Bin B"
"668","DISTRICT 19 - TEHACHAPI",1510701,"EDWARDS AFB - MAIN BASE","C","C","D4","T2","SC",1058,2018-02-23,"n",NA,20085,NA
"669","DISTRICT 03 - MENDOCINO",2310007,"NORTH GUALALA WATER COMPANY","C","C","D3","T2","DAVCL",1058,2017-12-05,"n",NA,2593,NA
"670","DISTRICT 11 - MERCED",2010007,"CAL AM - OAKHURST","C","C","D3","T3","DAVCL",1045,2016-12-07,"n",NA,3439,NA
"671","DISTRICT 11 - MERCED",2010003,"BASS LAKE WATER COMPANY","C","C","D2","T2","C1",1009,2019-03-26,"n",NA,4527,NA
"672","DISTRICT 03 - MENDOCINO",2310002,"ROGINA WATER COMPANY INC.","C","C","D2","T1","C1",1008,2019-04-04,"n",NA,3700,NA
"673","DISTRICT 21 - VALLEY",610001,"ARBUCKLE PUBLIC UTILITY DISTRICT","C","C","D2","TD","DAVCS",1002,2020-06-17,"y","CA0610001",2778,"Bin A"
"674","DISTRICT 09 - SACRAMENTO",5710007,"ESPARTO C.S.D.","C","C","D2","T1","SC",1001,2020-03-26,"n",NA,3108,NA
"675","DISTRICT 02 - LASSEN",3210002,"PLUMAS COUNTY FLOOD CONTROL","C","C","NR","T2","WH",993,2018-05-21,"n",NA,0,NA
"676","DISTRICT 22 - ANGELES",1910050,"COMMERCE-CITY, WATER DEPT.","C","C","D2","T2","C1",989,2018-07-31,"n",NA,4203,NA
"677","DISTRICT 18 - SONOMA",4910019,"FORESTVILLE WATER DISTRICT","C","C","D2","There are no treatment plants","DAVCS",985,2017-09-26,"n",NA,3250,NA
"678","DISTRICT 06 - SANTA BARBARA",4010040,"GOLDEN STATE WATER COMPANY-CYPRESS RIDGE","C","C","D2","T2","SC",984,2018-04-16,"n",NA,2554,NA
"679","DISTRICT 09 - SACRAMENTO",910007,"LUKINS BROTHERS WATER COMPANY","C","C","D2","TD","DAVCS",982,2020-06-15,"n",NA,3200,NA
"680","DISTRICT 02 - LASSEN",3110051,"NORTHSTAR CSD - MARTIS VALLEY","C","C","D2","TD","SC",977,2018-06-15,"n",NA,1218,NA
"681","DISTRICT 23 - FRESNO",1010028,"RIVERDALE PUBLIC UTILITY DISTRICT","C","C","D2","TD","DAVCS",966,2020-03-24,"n",NA,3145,NA
"682","DISTRICT 05 - MONTEREY",3510004,"AROMAS WATER DISTRICT","C","C","D2","T1","SC",964,2019-11-01,"y","CA3510004",2988,"Bin A"
"683","DISTRICT 13 - SAN BERNARDINO",3610110,"ARROWBEAR PARK CWD","C","C","D2","T2","DAVCS",954,2017-06-22,"n",NA,1856,NA
"684","DISTRICT 02 - LASSEN",1810002,"WESTWOOD C.S.D.","C","C","D2","TD","DAVCS",948,2018-07-25,"n",NA,1662,NA
"685","DISTRICT 11 - MERCED",2010008,"MADERA CO MD10A-MADERA RANCHOS","C","C","D2","There are no treatment plants","SC",944,2017-12-19,"n",NA,3072,NA
"686","DISTRICT 13 - SAN BERNARDINO",3610002,"ALPINE WATER USERS ASSOCIATION","C","C","D2","T2","SC",937,2014-09-25,"n",NA,2534,NA
"687","DISTRICT 23 - FRESNO",1010017,"FCWWD #41/SHAVER LAKE","C","C","D2","T1","SC",933,2020-07-07,"n",NA,3079,NA
"688","DISTRICT 02 - LASSEN",3210005,"GRAEAGLE WATER COMPANY","C","C","D1","T2","SC",933,2019-12-16,"n",NA,737,NA
"689","DISTRICT 20 - RIVERSIDE",3310047,"CABAZON WATER DISTRICT","C","C","D2","Operator is not required","DAVCS",933,2017-10-11,"y","CA3310047",2535,"Bin A"
"690","DISTRICT 06 - SANTA BARBARA",5610700,"NAVAL BASE VENTURA COUNTY, POINT MUGU","C","C","D3","There are no treatment plants","SC",928,2018-12-21,"n",NA,1566,NA
"691","DISTRICT 02 - LASSEN",3110015,"FULTON WATER COMPANY","C","C","D1","T2","SC",926,2019-08-14,"n",NA,500,NA
"692","DISTRICT 13 - SAN BERNARDINO",3610028,"MARYGOLD MWC","C","C","D2","T2","SC",924,2016-09-15,"n",NA,3049,NA
"693","DISTRICT 07 - HOLLYWOOD",1910160,"TRACT 349 MUTUAL WATER CO.","C","C","D3","TD","DAVCS",919,2018-07-27,"y","CA1910160",7500,"Bin A"
"694","DISTRICT 06 - SANTA BARBARA",5610015,"VENTURA CWWD NO. 19 - SOMIS","C","C","D3","T1","SC",919,2019-06-20,"n",NA,3275,NA
"695","DISTRICT 02 - LASSEN",3110028,"NORTHSTAR C.S.D.","C","C","D2","T2","SC",916,2018-06-15,"n",NA,300,NA
"696","DISTRICT 01 - KLAMATH",1210015,"WILLOW CREEK C.S.D.","C","C","D2","T2","DAVCS",915,2018-10-16,"n",NA,1710,NA
"697","DISTRICT 02 - LASSEN",3110006,"PLACER CWA - COLFAX","C","C","D2","T3","SC",899,2019-05-15,"n",NA,2987,NA
"698","DISTRICT 06 - SANTA BARBARA",4010010,"SAN MIGUEL COMMUNITY SERVICES DISTRICT","C","C","D2","TD","DAVCS",892,2019-12-16,"n",NA,2600,NA
"699","DISTRICT 05 - MONTEREY",2710019,"CWSC OAK HILLS","C","C","D2","T2","SC",885,2017-04-03,"n",NA,3986,NA
"700","DISTRICT 23 - FRESNO",1010044,"HURON, CITY OF","C","C","D2","T3","DAVCS",876,2019-05-29,"n",NA,7306,NA
"701","DISTRICT 06 - SANTA BARBARA",4010832,"ATASCADERO STATE HOSPITAL","C","C","D2","TD","SC",875,2019-09-24,"n",NA,4128,NA
"702","DISTRICT 09 - SACRAMENTO",210002,"KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT","C","C","D2","T1","SC",863,2019-10-22,"n",NA,7851,NA
"703","DISTRICT 04 - SAN FRANCISCO",4810021,"CITY OF VALLEJO-LAKES SYSTEM","C","C","D2","T2","SC",846,2018-04-19,"n",NA,2800,NA
"704","DISTRICT 10 - STOCKTON",3910008,"LOCKEFORD COMMUNITY SERV. DIST.","C","C","D2","There are no treatment plants","DAVCS",837,2018-03-06,"n",NA,2500,NA
"705","DISTRICT 21 - VALLEY",5810700,"BEALE AIR FORCE BASE","C","C","D2","T2","SC",836,2019-04-23,"n",NA,7252,NA
"706","DISTRICT 20 - RIVERSIDE",3310018,"HOME GARDENS COUNTY WD","C","C","D2","There are no treatment plants","SC",835,2017-08-29,"n",NA,3095,NA
"707","DISTRICT 03 - MENDOCINO",2810007,"TOWN OF YOUNTVILLE","C","C","D2","T1","SC",833,2018-12-12,"n",NA,3953,NA
"708","DISTRICT 13 - SAN BERNARDINO",3610051,"VALLEY OF ENCHANTMENT MWC","C","C","D2","T1","SC",823,2018-09-20,"n",NA,1850,NA
"709","DISTRICT 12 - VISALIA",5410009,"PIXLEY PUBLIC UTIL DIST","C","C","D2","Operator is not required","SC",821,2017-06-20,"n",NA,2709,NA
"710","DISTRICT 05 - MONTEREY",4410018,"CENTRAL WATER DISTRICT","C","C","D3","TD","SC",820,2019-01-24,"n",NA,2700,NA
"711","DISTRICT 02 - LASSEN",3110017,"SIERRA LAKES COUNTY WATER DIST","C","C","D2","T3","SC",816,2017-09-26,"n",NA,185,NA
"712","DISTRICT 02 - LASSEN",3110020,"SQUAW VALLEY PSD","C","C","D2","T1","SC",812,2019-08-13,"n",NA,1366,NA
"713","DISTRICT 13 - SAN BERNARDINO",3610063,"GOLDEN STATE WATER CO - MORONGO DEL SUR","C","C","D2","T2","C1",809,2018-08-08,"n",NA,1746,NA
"714","DISTRICT 05 - MONTEREY",3510002,"SAN JUAN BAUTISTA, CITY OF","C","C","D2","T1","SC",804,2019-09-12,"n",NA,2195,NA
"715","DISTRICT 12 - VISALIA",5410038,"TERRA BELLA IRRIGATION DISTRICT - TBT","C","C","D3","T3","DAVCS",803,2020-01-28,"n",NA,4957,NA
"716","DISTRICT 13 - SAN BERNARDINO",3610093,"ARROWHEAD VILLAS MUTUAL SERVICE COMPANY","C","C","D1","T2","SC",797,2019-09-11,"n",NA,3578,NA
"717","DISTRICT 13 - SAN BERNARDINO",3610854,"SEARLES VALLEY MINERALS OPERATIONS INC","C","C","D2","T2","C1",796,2016-07-20,"n",NA,1818,NA
"718","DISTRICT 05 - MONTEREY",2710018,"SEASIDE MUNICIPAL WATER SYSTEM","C","C","D2","TD","SC",786,2019-07-31,"n",NA,2800,NA
"719","DISTRICT 21 - VALLEY",5810006,"NORTH YUBA WATER DISTRICT","C","C","D2","T2","DAVCS",784,2017-06-16,"n",NA,2591,NA
"720","DISTRICT 03 - MENDOCINO",1710010,"LOWER LAKE COUNTY WATER DISTRICT","C","C","D2","T2","DAVCS",776,2019-10-08,"n",NA,1902,NA
"721","DISTRICT 13 - SAN BERNARDINO",3610011,"CEDARPINES PARK MWC","C","C","D2","T1","SC",771,2013-10-07,"n",NA,2511,NA
"722","DISTRICT 06 - SANTA BARBARA",4010901,"SLOCSA #10A - CAYUCOS","C","C","D1","There are no treatment plants","SC",771,2018-03-28,"n",NA,857,NA
"723","DISTRICT 06 - SANTA BARBARA",4010006,"CAYUCOS BEACH MUTUAL WATER COMPANY","C","C","D1","TD","SC",770,2019-02-13,"n",NA,2541,NA
"724","DISTRICT 11 - MERCED",5510006,"MI WUK VILLAGE MUT WTR CO","C","C","D2","T2","SC",769,2017-11-01,"n",NA,1737,NA
"725","DISTRICT 18 - SONOMA",2110006,"NORTH MARIN WD - PT. REYES","C","C","D2","T1","SC",766,2017-04-24,"n",NA,1700,NA
"726","DISTRICT 19 - TEHACHAPI",1510039,"CWS SOUTHLAKE SYSTEM","C","C","D2","T2","SC",761,2019-11-13,"n",NA,1395,NA
"727","DISTRICT 06 - SANTA BARBARA",5610069,"VENTURA CWWD NO. 38 - LAKE SHERWOOD","C","C","D3","There are no treatment plants","SC",751,2018-09-25,"n",NA,1527,NA
"728","DISTRICT 17 - SANTA CLARA",4110005,"GUADALUPE VALLEY MID","C","C","D1","There are no treatment plants","SC",750,2019-01-23,"n",NA,1398,NA
"729","DISTRICT 01 - KLAMATH",1210007,"DEL ORO WATER CO-FERNDALE","C","C","D2","T1","SC",747,2020-01-13,"n",NA,1998,NA
"730","DISTRICT 18 - SONOMA",2110004,"STINSON BEACH COUNTY WTR DIST","C","C","D2","T2","SC",741,2014-01-07,"n",NA,1500,NA
"731","DISTRICT 22 - ANGELES",1910022,"CALIF STATE POLYTECHNICAL UNIV - POMONA","C","C","D4","T3","SC",731,2016-08-10,"n",NA,29197,NA
"732","DISTRICT 23 - FRESNO",1010034,"SAN JOAQUIN, CITY OF","C","C","D2","TD","SC",730,2020-01-30,"n",NA,4060,NA
"733","DISTRICT 01 - KLAMATH",4710006,"MCCLOUD C.S.D.","C","C","D2","There are no treatment plants","DAVCS",728,2017-08-03,"n",NA,1300,NA
"734","DISTRICT 10 - STOCKTON",310021,"AWA - CAMANCHE VILLAGE","C","C","D3","TD","DAVCS",725,2019-05-30,"n",NA,2384,NA
"735","DISTRICT 13 - SAN BERNARDINO",3610105,"GOLDEN STATE WATER CO - APPLE VLY NORTH","C","C","D2","TD","SC",725,2015-01-05,"n",NA,2088,NA
"736","DISTRICT 07 - HOLLYWOOD",1910056,"LAKE ELIZABETH MUTUAL WATER CO.","C","C","D2","T2","SC",724,2018-12-04,"n",NA,1790,NA
"737","DISTRICT 13 - SAN BERNARDINO",3610022,"DWP - FAWNSKIN","C","C","D1","T2","DAVCS",717,2017-12-14,"y","CA3610022",469,"Bin A"
"738","DISTRICT 21 - VALLEY",410001,"CITY OF BIGGS","C","C","D2","TD","SC",715,2020-02-21,"n",NA,1805,NA
"739","DISTRICT 23 - FRESNO",1010055,"FCSA #47/QUAIL LAKE ESTATES","C","C","D2","TD","SC",709,2020-04-07,"n",NA,1982,NA
