Regulating Agency,Water System No.,Water System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,Service Connections,Population,Last SNSV
DISTRICT 06 - SANTA BARBARA,4010023,GOLDEN STATE WATER COMPANY - EDNA,C,C,D2,T2,SC,586,1301,9/26/2018
DISTRICT 01 - KLAMATH,810002,SMITH RIVER C.S.D.,C,C,D2,TD,DAVCS,582,2568,8/15/2019
DISTRICT 02 - LASSEN,3110012,AGATE BAY WATER COMPANY,C,C,D2,T2,SC,582,2500,8/14/2019
DISTRICT 01 - KLAMATH,5310002,TRINITY CO. W.W. DIST #1,C,C,D2,T3,DAVCS,580,1775,12/10/2019
DISTRICT 11 - MERCED,5510851,CDCR - SIERRA CONSERVATION CENTER,C,C,D2,T3,SC,578,3885,8/16/2018
DISTRICT 02 - LASSEN,3210001,IVCSD-GREENVILLE,C,C,D2,T2,DAVCS,576,1129,11/18/2019
DISTRICT 10 - STOCKTON,510005,CCWD - WEST POINT,C,C,D2,T3,SC,574,988,4/11/2019
DISTRICT 06 - SANTA BARBARA,5610021,WARRING WATER SERVICE INC,C,C,D2,TD,SC,562,2100,11/13/2019
DISTRICT 10 - STOCKTON,3910002,SAN JOAQUIN COUNTY - COLONIAL HEIGHTS,C,C,D2,There are no treatment plants,SC,561,1851,6/19/2018
DISTRICT 02 - LASSEN,3110011,TAHOE CITY PUD - MCKINNEY/QUAIL,C,C,D2,T2,SC,559,844,9/25/2017
DISTRICT 20 - RIVERSIDE,3301943,PLANTATION ON THE LAKE PARK,C,C,D1,TD,SC,554,883,8/16/2017
DISTRICT 02 - LASSEN,3210011,PLUMAS EUREKA CSD,C,C,D1,T2,SC,553,1525,9/25/2019
DISTRICT 01 - KLAMATH,1210020,FIELDBROOK GLENDALE C.S.D.,C,C,D2,There are no treatment plants,SC,551,1848,12/17/2019
DISTRICT 02 - LASSEN,3110035,WEIMAR WATER COMPANY,C,C,D2,T3,SC,550,1500,3/28/2018
DISTRICT 07 - HOLLYWOOD,1910246,LAND PROJECTS MUTUAL WATER CO.,C,C,D2,TD,SC,542,1500,3/11/2020
DISTRICT 11 - MERCED,2010006,MADERA CO SA3-PARKSDALE,C,C,D2,There are no treatment plants,SC,542,1789,8/29/2018
DISTRICT 11 - MERCED,5510011,COLD SPRINGS WATER CO,C,C,D1,T2,DAVCS,533,201,11/13/2018
DISTRICT 12 - VISALIA,5410024,RICHGROVE COMMUNITY SERVICES DISTRICT,C,C,D2,TD,DAVCS,524,1617,9/23/2019
DISTRICT 10 - STOCKTON,310004,"PLYMOUTH, CITY OF",C,C,D2,There are no treatment plants,SC,520,1060,7/8/2019
DISTRICT 18 - SONOMA,4910003,PENNGROVE WATER COMPANY (PUC),C,C,D2,There are no treatment plants,SC,517,1706,1/3/2017
DISTRICT 18 - SONOMA,2110001,INVERNESS PUBLIC UTILITY DIST,C,C,D1,T2,SC,516,1445,7/7/2017
DISTRICT 06 - SANTA BARBARA,5610010,CAL AMERICAN WC - RIO PLAZA,C,C,D2,TD,SC,516,1716,4/26/2018
DISTRICT 13 - SAN BERNARDINO,3610060,BDVWA - GOAT MOUNTAIN ID,C,C,D2,TD,DAVCS,512,923,1/14/2020
DISTRICT 19 - TEHACHAPI,1510056,CWS - LOWER BODFISH WATER SYSTEM,C,C,D2,T3,SC,504,348,8/28/2018
DISTRICT 13 - SAN BERNARDINO,1410009,INYO COUNTY PWD - LONE PINE,C,C,D2,TD,DAVCS,503,2035,10/10/2017
DISTRICT 06 - SANTA BARBARA,4010024,SLO CWWD NO. 23 - SANTA MARGARITA,C,C,D2,T2,SC,503,1259,5/23/2018
DISTRICT 01 - KLAMATH,4710007,"MONTAGUE, CITY OF",C,C,D2,T3,DAVCS,503,1495,5/3/2018
DISTRICT 12 - VISALIA,1610007,HOME GARDEN CSD,C,C,D2,T2,SC,502,1750,7/2/2020
DISTRICT 02 - LASSEN,3210010,HAMILTON BRANCH CSD,C,C,D2,TD,SC,502,1624,9/9/2019
DISTRICT 14 - SAN DIEGO,1310008,"WESTMORLAND, CITY OF",C,C,D2,T3,SC,501,2444,12/6/2013
DISTRICT 13 - SAN BERNARDINO,1410007,HIGHLAND MOBILE HOME PARK,C,C,D1,There are no treatment plants,SC,500,1400,11/21/2017
DISTRICT 02 - LASSEN,3210007,WEST ALMANOR M.W.C.,C,C,D1,There are no treatment plants,SC,500,500,9/9/2019
DISTRICT 15 - METROPOLITAN,1910244,GREEN VALLEY CWD,C,C,D2,T1,SC,499,1190,2/19/2020
DISTRICT 11 - MERCED,2010004,MADERA CO CMD19-PARKWOOD,C,C,D2,T1,SC,496,1637,8/29/2018
DISTRICT 03 - MENDOCINO,1710018,LAKE COUNTY CSA 2 - SPRING VALLEY,C,C,D2,T2,DAVCS,495,995,3/29/2018
DISTRICT 13 - SAN BERNARDINO,3610117,DEVORE WC,C,C,D2,TD,SC,495,1633,10/25/2018
DISTRICT 05 - MONTEREY,4410008,"MT. HERMON ASSOCIATION, INC.",C,C,D2,TD,SC,494,2400,3/25/2019
DISTRICT 13 - SAN BERNARDINO,3610021,FALLSVALE SERVICE COMPANY,C,C,D1,TD,SC,492,995,10/4/2018
DISTRICT 10 - STOCKTON,210001,LAKE ALPINE WATER COMPANY,C,C,D2,T2,SC,488,625,7/29/2020
DISTRICT 09 - SACRAMENTO,3410026,CALIFORNIA STATE FAIR,C,C,D1,TD,SC,488,8524,9/30/2019
DISTRICT 11 - MERCED,5510023,SONORA MEADOWS MUTUAL WTR CO,C,C,D2,TD,SC,488,1123,7/26/2018
DISTRICT 07 - HOLLYWOOD,1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,C,C,D1,There are no treatment plants,SC,485,2010,4/11/2019
DISTRICT 11 - MERCED,2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,C,C,D2,TD,SC,483,1478,9/26/2019
DISTRICT 02 - LASSEN,4510008,FALL RIVER VALLEY CSD,C,C,D2,There are no treatment plants,DAVCS,480,1584,4/19/2018
DISTRICT 02 - LASSEN,4510013,SHASTA C.S.D.,C,C,D2,T3,DAVCS,480,1584,12/20/2019
DISTRICT 21 - VALLEY,410003,DURHAM IRRIGATION DISTRICT,C,C,D2,TD,SC,477,1561,5/16/2017
DISTRICT 09 - SACRAMENTO,3410012,CALAM - ISLETON,C,C,D1,T2,SC,476,1571,3/12/2020
DISTRICT 10 - STOCKTON,5000433,OID-OAKDALE RURAL WATER SYSTEM #1,C,C,D2,There are no treatment plants,SC,476,1319,1/14/2019
DISTRICT 11 - MERCED,2010011,MADERA CO SA1-INDIAN LAKES,C,C,D2,T1,SC,473,1562,8/29/2018
DISTRICT 11 - MERCED,2410011,LE GRAND COMM SERVICES DIST,C,C,D2,TD,SC,471,1700,5/16/2018
DISTRICT 12 - VISALIA,5410012,STRATHMORE PUBLIC UTIL DIST,C,C,D2,T3,DAVCS,471,2150,1/7/2020
DISTRICT 23 - FRESNO,1010020,LATON COMMUNITY SERVICES DISTRICT,C,C,D2,There are no treatment plants,DAVCS,470,1824,5/8/2018
DISTRICT 16 - CENTRAL,1910081,LYNWOOD PARK MUTUAL WATER CO.,C,C,D1,T1,SC,470,2300,6/27/2018
DISTRICT 12 - VISALIA,5410025,WOODVILLE PUBLIC UTILITY DIST,C,C,D2,TD,DAVCS,467,1673,11/15/2018
DISTRICT 12 - VISALIA,1010042,MALAGA COUNTY WATER DISTRICT,C,C,D2,There are no treatment plants,DAVCS,462,5979,4/24/2020
DISTRICT 02 - LASSEN,4510004,"SHASTA CSA - JONES VALLEY, #6",C,C,D2,T3,DAVCS,459,1119,10/11/2017
DISTRICT 03 - MENDOCINO,1710011,BUCKINGHAM PARK WATER DISTRICT,C,C,D2,T3,SC,457,1501,12/2/2019
DISTRICT 05 - MONTEREY,2710020,PAJARO COMMUNITY SERVICES DISTRICT,C,C,D2,TD,SC,457,6500,2/11/2019
DISTRICT 22 - ANGELES,1910249,WHITE FENCE FARMS MWC NO. 1,C,C,D2,T2,SC,454,1145,7/26/2019
DISTRICT 05 - MONTEREY,2710022,CAL AM WATER COMPANY - HIDDEN HILLS,C,C,D2,T2,SC,454,1252,3/5/2020
DISTRICT 01 - KLAMATH,4710012,HAPPY CAMP C.S.D.,C,C,D2,T2,DAVCS,453,1100,9/20/2018
DISTRICT 06 - SANTA BARBARA,4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,C,C,D2,TD,SC,451,1958,9/26/2018
DISTRICT 14 - SAN DIEGO,1310013,SEELEY CWD,C,C,D2,T3,DAVCS,449,2124,10/5/2018
DISTRICT 03 - MENDOCINO,1710013,CALLAYOMI COUNTY WATER DISTRICT,C,C,D2,T2,DAVCS,449,1317,1/24/2018
DISTRICT 10 - STOCKTON,510012,CAMANCHE SOUTH SHORE-EBMUD,C,C,D2,T2,SC,448,180,12/14/2018
DISTRICT 02 - LASSEN,3110018,TAHOE PARK WATER COMPANY,C,C,D1,There are no treatment plants,SC,445,750,9/26/2017
DISTRICT 01 - KLAMATH,1210008,GARBERVILLE SANITARY DISTRICT,C,C,D2,T2,DAVCS,442,1500,1/15/2019
DISTRICT 12 - VISALIA,1510011,BUTTONWILLOW CWD,C,C,D2,TD,DAVCS,439,1508,5/24/2018
DISTRICT 02 - LASSEN,3110041,MIDWAY HEIGHTS C. W. D.,C,C,D2,There are no treatment plants,SC,438,1080,8/15/2018
DISTRICT 12 - VISALIA,1510046,LOST HILLS UTILITY DISTRICT,C,C,D2,T2,SC,437,2412,12/7/2018
DISTRICT 01 - KLAMATH,4710010,"TULELAKE, CITY OF",C,C,D2,TD,DAVCS,437,1000,7/26/2018
DISTRICT 01 - KLAMATH,1210019,HYDESVILLE CO. W.D.,C,C,D2,TD,DAVCS,428,1409,3/28/2018
DISTRICT 22 - ANGELES,1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,C,C,D2,T2,SC,426,1244,6/7/2018
DISTRICT 19 - TEHACHAPI,1510042,MOUNTAIN MESA WC,C,C,D2,T2,SC,422,777,1/9/2018
DISTRICT 13 - SAN BERNARDINO,3610030,MARIANA RANCHOS CWD,C,C,D2,There are no treatment plants,SC,420,1386,3/1/2018
DISTRICT 01 - KLAMATH,4710001,"DORRIS, CITY OF",C,C,D1,TD,DAVCS,420,887,4/23/2020
DISTRICT 13 - SAN BERNARDINO,3610701,USMC NEBO (BARSTOW),C,C,D2,TD,SC,419,1538,3/7/2018
DISTRICT 05 - MONTEREY,2710021,CAL AM WATER COMPANY - TORO,C,C,D2,T2,SC,418,1148,10/15/2019
DISTRICT 03 - MENDOCINO,2310011,LAYTONVILLE COUNTY WATER DISTRICT,C,C,D2,T2,SC,413,1320,2/15/2017
DISTRICT 04 - SAN FRANCISCO,110016,ALAMEDA POINT,C,C,D1,There are no treatment plants,SC,412,1500,9/17/2019
DISTRICT 01 - KLAMATH,4710004,"ETNA, CITY OF",C,C,D1,T2,DAVCS,410,720,5/16/2019
DISTRICT 03 - MENDOCINO,1710009,UPPER LAKE COUNTY WATER DISTRICT,C,C,D2,TD,DAVCS,407,989,6/9/2020
DISTRICT 05 - MONTEREY,2710006,CAL AM WATER COMPANY - AMBLER PARK,C,C,D2,T2,SC,402,1114,10/15/2019
DISTRICT 19 - TEHACHAPI,1510023,LAKE OF THE WOODS MWC,C,C,D1,T2,DAVCS,401,1103,5/17/2017
DISTRICT 10 - STOCKTON,5010029,CITY OF MODESTO - HILLCREST (DEL RIO),C,C,D1,T2,SC,401,1274,8/7/2019
DISTRICT 02 - LASSEN,4510009,SHASTA FOREST VILLAGE M.W.C.,C,C,D1,There are no treatment plants,SC,399,750,7/2/2018
DISTRICT 21 - VALLEY,5210002,GERBER LAS FLORES CSD,C,C,D2,TD,SC,399,1200,11/14/2018
DISTRICT 04 - SAN FRANCISCO,4810013,RURAL NORTH VACAVILLE WATER DISTRICT,C,C,D1,TD,SC,398,1130,4/17/2017
DISTRICT 21 - VALLEY,610003,MAXWELL PUBLIC UTILITY DISTRICT,C,C,D2,TD,SC,397,1317,5/15/2020
DISTRICT 12 - VISALIA,5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,C,C,D2,T3,DAVCS,394,1026,5/15/2020
DISTRICT 12 - VISALIA,5400665,DEL ORO RIVER ISLAND SERV TERR #1,C,C,D1,There are no treatment plants,SC,390,1287,12/5/2018
DISTRICT 11 - MERCED,5510004,PINECREST PERMITTEES ASSN,C,C,D2,T2,SC,390,1253,9/14/2018
DISTRICT 11 - MERCED,5510007,DEL ORO WATER COMPANY - STRAWBERRY DIV.,C,C,D2,T2,SC,389,1283,9/14/2018
DISTRICT 10 - STOCKTON,310005,PINE GROVE COMM SERV DIST,C,C,D1,There are no treatment plants,DAVCS,388,846,3/14/2019
DISTRICT 23 - FRESNO,1010013,"HUME LAKE CHRISTIAN CAMPS, INC",C,C,D2,T2,SC,388,2657,2/4/2016
DISTRICT 14 - SAN DIEGO,1310700,NAF EL CENTRO,C,C,D2,T3,SC,386,1022,12/3/2013
DISTRICT 05 - MONTEREY,2701882,CAL AM WATER COMPANY - BISHOP,C,C,D1,T1,SC,386,955,3/5/2020
DISTRICT 02 - LASSEN,3110042,TAHOE SWISS VILLAGE UTILITY,C,C,D2,TD,SC,386,300,9/25/2017
DISTRICT 10 - STOCKTON,3910018,SAN JOAQUIN RIVER CLUB INC,C,C,D1,TD,DAVCS,385,600,1/24/2019
DISTRICT 13 - SAN BERNARDINO,2610004,JUNE LAKE PUD - DOWN CANYON,C,C,D1,T2,DAVCS,380,2810,7/16/2015
DISTRICT 03 - MENDOCINO,2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,C,C,D2,T3,SC,380,2070,7/20/2017
DISTRICT 06 - SANTA BARBARA,4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,C,C,D1,There are no treatment plants,SC,371,1627,12/14/2018
DISTRICT 12 - VISALIA,5410011,SPRINGVILLE PUD,C,C,D2,T2,DAVCS,369,1500,6/2/2017
DISTRICT 01 - KLAMATH,4710003,"FORT JONES, TOWN OF",C,C,D1,There are no treatment plants,DAVCS,366,675,2/23/2018
DISTRICT 05 - MONTEREY,3500505,THOUSAND TRAILS SAN BENITO PRESERVE,C,C,D1,TD,SC,365,1025,8/23/2019
DISTRICT 12 - VISALIA,1610006,STRATFORD PUD,C,C,D2,TD,DAVCS,364,1301,11/13/2018
DISTRICT 14 - SAN DIEGO,3710012,RANCHO PAUMA MUTUAL WC,C,C,D1,T2,SC,364,899,12/19/2019
DISTRICT 06 - SANTA BARBARA,5610029,VINEYARD AVENUE ACRES MWC,C,C,D2,TD,SC,364,1820,12/3/2018
DISTRICT 01 - KLAMATH,1210017,MANILA COMMUNITY SERVICES DIST.,C,C,D1,There are no treatment plants,DAVCS,357,750,7/3/2018
DISTRICT 12 - VISALIA,1610009,KETTLEMAN CITY CSD,C,C,D1,T3,DAVCS,354,1450,11/20/2018
DISTRICT 18 - SONOMA,4910029,CAMP MEEKER WATER SYSTEM,C,C,D1,T1,SC,354,1168,5/22/2019
DISTRICT 11 - MERCED,5510026,PHOENIX LAKE ESTATES CC MWC,C,C,D1,There are no treatment plants,SC,353,988,11/8/2018
DISTRICT 03 - MENDOCINO,2810013,BERRYESSA HIGHLANDS,C,C,D1,T3,SC,352,938,6/3/2020
DISTRICT 09 - SACRAMENTO,2910016,DONNER SUMMIT PUBLIC UTILITY DISTRICT,C,C,D1,T2,SC,352,310,7/1/2020
DISTRICT 10 - STOCKTON,3901348,FAIROAKS PWS #44,C,C,D2,TD,SC,352,1162,6/19/2018
DISTRICT 21 - VALLEY,5210003,LOS MOLINOS COMM. SERVICES DIST.,C,C,D2,TD,SC,352,1500,10/30/2018
DISTRICT 09 - SACRAMENTO,5710011,WILD WINGS GOLF COMMUNITY,C,C,D2,T1,SC,352,1115,12/21/2018
DISTRICT 02 - LASSEN,3200104,GRIZZLY LAKE CSD-DELLEKER,C,C,D1,There are no treatment plants,DAVCS,350,657,5/21/2018
DISTRICT 23 - FRESNO,1010030,TRANQUILLITY IRRIGATION DISTRICT,C,C,D2,T1,SC,348,897,3/21/2019
DISTRICT 17 - SANTA CLARA,4110019,O'CONNOR TRACT CO-OPERATIVE WATER CO.,C,C,D1,There are no treatment plants,SC,348,3128,7/11/2019
DISTRICT 16 - CENTRAL,1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",C,C,D1,T1,SC,347,1317,10/1/2018
DISTRICT 11 - MERCED,5510016,"SIERRA PARK WATER COMPANY, INC.",C,C,D1,There are no treatment plants,DAVCS,345,300,11/14/2017
DISTRICT 16 - CENTRAL,1910012,BELLFLOWER HOME GARDEN WATER COMPANY,C,C,D1,There are no treatment plants,SC,342,1129,9/27/2018
DISTRICT 06 - SANTA BARBARA,5610056,VINEYARD AVE ESTATES MWC,C,C,D2,T2,SC,342,1200,12/3/2018
DISTRICT 02 - LASSEN,3110047,TALMONT RESORT IMPROVEMENT DISTRICT,C,C,D1,There are no treatment plants,SC,341,300,9/26/2017
DISTRICT 06 - SANTA BARBARA,4010028,SLO CSA NO. 16 - SHANDON,C,C,D2,TD,SC,340,1295,6/28/2019
DISTRICT 10 - STOCKTON,3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,C,C,D1,T2,SC,339,891,9/25/2019
DISTRICT 13 - SAN BERNARDINO,3610016,GLEN MARTIN MWC,C,C,D1,TD,SC,338,450,7/18/2019
DISTRICT 10 - STOCKTON,310011,FIRST MACE MEADOW # 1,C,C,D1,There are no treatment plants,SC,337,838,6/18/2019
DISTRICT 18 - SONOMA,4910010,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,C,C,D1,There are no treatment plants,SC,337,1108,1/26/2017
DISTRICT 13 - SAN BERNARDINO,1410008,INYO COUNTY PWD - INDEPENDENCE,C,C,D1,TD,DAVCS,336,669,10/11/2017
DISTRICT 02 - LASSEN,4610001,CITY OF LOYALTON,C,C,D1,TD,DAVCS,336,856,6/10/2018
DISTRICT 11 - MERCED,2010009,BAKMAN WATER-ROLLING HILLS,C,C,D2,T2,SC,335,1106,9/28/2017
DISTRICT 08 - SANTA ANA,3010008,EASTSIDE WATER ASSOCIATION,C,C,D1,TD,SC,333,2000,12/11/2019
DISTRICT 10 - STOCKTON,5010023,CITY OF MODESTO - SOUTH TURLOCK,C,C,D2,TD,SC,332,1079,7/6/2018
DISTRICT 07 - HOLLYWOOD,1900563,"SUNDALE MUTUAL WATER COMPANY A, B",C,C,D2,There are no treatment plants,SC,330,1100,9/8/2020
DISTRICT 13 - SAN BERNARDINO,3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,C,C,D2,TD,SC,330,1158,7/7/2016
DISTRICT 01 - KLAMATH,1210021,JACOBY CREEK CSD,C,C,D1,There are no treatment plants,SC,329,904,6/26/2019
DISTRICT 10 - STOCKTON,3910014,SAN JOAQUIN COUNTY-RAYMUS VILLAGE,C,C,D2,There are no treatment plants,SC,329,1086,6/19/2018
DISTRICT 23 - FRESNO,1010035,DEL REY COMMUNITY SERV DIST,C,C,D2,There are no treatment plants,DAVCS,328,1500,8/30/2018
DISTRICT 05 - MONTEREY,2710023,TASCO SPRECKELS WATER COMPANY,C,C,D1,TD,SC,327,1079,6/29/2020
DISTRICT 03 - MENDOCINO,2310010,HOPLAND PUBLIC UTILITY DISTRICT,C,C,D2,T1,DAVCS,326,1076,9/14/2018
DISTRICT 05 - MONTEREY,4410016,FOREST LAKES MWC,C,C,D2,T2,SC,326,1067,4/19/2018
DISTRICT 01 - KLAMATH,1210018,"TRINIDAD, CITY OF",C,C,D1,T3,SC,325,1000,8/7/2019
DISTRICT 17 - SANTA CLARA,4300615,THOUSAND TRAILS - MORGAN HILL,C,C,D1,TD,N1,320,508,12/12/2018
DISTRICT 12 - VISALIA,5410017,LONDON COMMUNITY SERV DIST,C,C,D2,There are no treatment plants,DAVCS,320,2138,9/11/2019
DISTRICT 14 - SAN DIEGO,3710009,DESCANSO COMMUNITY SERVICES DISTRICT,C,C,D2,T2,SC,317,870,7/10/2019
DISTRICT 10 - STOCKTON,5010042,WATERFORD-RIVER POINTE,C,C,D1,T1,SC,317,1046,3/5/2019
DISTRICT 23 - FRESNO,1000484,FCSA #34/ MILLERTON NEW TOWN,C,C,D1,T2,SC,315,868,10/3/2019
DISTRICT 20 - RIVERSIDE,3310028,RIVERSIDE CSA #122-MESA VERDE,C,C,D2,T2,DAVCS,315,1000,7/27/2015
DISTRICT 13 - SAN BERNARDINO,3610108,GOLDEN STATE WATER CO - LUCERNE,C,C,D1,TD,SC,315,744,1/30/2017
DISTRICT 11 - MERCED,2210002,PONDEROSA BASIN MUTUAL WTR CO,C,C,D1,There are no treatment plants,SC,314,798,11/28/2017
DISTRICT 13 - SAN BERNARDINO,3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,C,C,D1,TD,DAVCS,313,1033,5/7/2014
DISTRICT 03 - MENDOCINO,2810012,PACIFIC UNION COLLEGE,C,C,D2,T1,SC,312,2360,5/30/2019
DISTRICT 11 - MERCED,2010014,CAL AM - GOLDSIDE,C,C,D1,TD,DAVCS,311,1026,12/13/2018
DISTRICT 01 - KLAMATH,2500801,NEWELL COUNTY WATER DISTRICT,C,C,D1,TD,DAVCS,310,300,6/11/2019
DISTRICT 17 - SANTA CLARA,4300543,WEST SAN MARTIN WATER WORKS INC,C,C,D1,TD,SC,309,1406,10/22/2019
DISTRICT 18 - SONOMA,4910024,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),C,C,D1,T1,SC,309,1020,5/18/2017
DISTRICT 01 - KLAMATH,1210010,SCOTIA CSD,C,C,D1,T2,DAVCS,308,850,3/1/2018
DISTRICT 16 - CENTRAL,1910087,METROPOLITAN WATER DIST. OF SO. CAL.,C,C,D5,T5,WH,307,0,5/23/2019
DISTRICT 20 - RIVERSIDE,3310052,LAKE HEMET-GARNER VALLEY,C,C,D1,Operator is not required,SC,307,709,11/8/2017
DISTRICT 14 - SAN DIEGO,3702354,WARNER SPRINGS ESTATES,C,C,D1,T1,SC,307,435,8/15/2018
DISTRICT 13 - SAN BERNARDINO,1410006,BIG PINE CSD,C,C,D1,TD,DAVCS,304,792,7/21/2016
DISTRICT 06 - SANTA BARBARA,4000650,MESA DUNES MOBILE HOME ESTATES,C,C,D1,TD,SC,304,600,6/25/2018
DISTRICT 19 - TEHACHAPI,1510051,LEBEC COUNTY WATER DISTRICT,C,C,D2,TD,DAVCS,303,1379,12/7/2017
DISTRICT 13 - SAN BERNARDINO,3600306,THUNDERBIRD CWD,C,C,D1,T1,SC,302,840,6/10/2020
DISTRICT 06 - SANTA BARBARA,5610001,DEMPSEY ROAD MUTUAL WATER CO,C,C,D2,TD,SC,301,1520,10/18/2018
DISTRICT 23 - FRESNO,1010049,BIOLA COMMUNITY SERVICES DIST,C,C,D2,TD,SC,300,1623,4/16/2018
DISTRICT 17 - SANTA CLARA,4300997,NASA AMES RESEARCH CENTER,C,C,D2,There are no treatment plants,SC,300,5300,3/20/2018
DISTRICT 12 - VISALIA,5410022,CAMP NELSON WATER COMPANY,C,C,D1,T2,SC,300,107,11/2/2018
DISTRICT 13 - SAN BERNARDINO,1410005,INDIAN CREEK CSD,C,C,D1,There are no treatment plants,SC,297,1030,5/30/2017
DISTRICT 02 - LASSEN,1805007,HERLONG PUBLIC UTILITY DISTRICT,C,C,D2,TD,DAVCS,297,2114,5/23/2017
DISTRICT 17 - SANTA CLARA,4110012,CUESTA LA HONDA GUILD INC,C,C,D1,T3,SC,297,832,2/11/2019
DISTRICT 10 - STOCKTON,510011,SNOWSHOE SPRINGS ASSN.,C,C,D1,There are no treatment plants,SC,296,270,5/20/2019
DISTRICT 13 - SAN BERNARDINO,3610045,LACSD - RIMFOREST,C,C,D1,There are no treatment plants,SC,296,820,10/7/2014
DISTRICT 18 - SONOMA,4910025,KENWOOD VILLAGE WATER COMPANY (PUC),C,C,D1,T1,SC,296,977,4/17/2017
DISTRICT 13 - SAN BERNARDINO,2610002,JUNE LAKE PUD VILLAGE,C,C,D1,T3,DAVCS,295,2740,7/16/2015
DISTRICT 06 - SANTA BARBARA,5610035,RIO MANOR MUTUAL WATER CO,C,C,D1,TD,SC,295,983,10/16/2018
DISTRICT 10 - STOCKTON,3910020,STOCKTON VERDE MOBILE HOME PARK,C,C,D1,TD,SC,293,571,7/19/2019
DISTRICT 16 - CENTRAL,1910023,AVERYDALE MWC,C,C,D2,T1,SC,292,964,12/5/2019
DISTRICT 10 - STOCKTON,3910009,SAN JOAQUIN COUNTY - THORNTON,C,C,D1,T2,SC,292,964,3/7/2018
DISTRICT 23 - FRESNO,1000078,FCWWD #42/ALLUVIAL & FANCHER,C,C,D1,There are no treatment plants,SC,291,343,3/13/2018
DISTRICT 13 - SAN BERNARDINO,3600009,APPLE VALLEY HEIGHTS CWD,C,C,D1,There are no treatment plants,DAVCS,291,291,3/12/2019
DISTRICT 12 - VISALIA,1500452,RIVERDALE VILLAGE,C,C,D1,TD,SC,290,750,5/15/2020
DISTRICT 19 - TEHACHAPI,1500481,RIVERNOOK CAMPGROUND,C,C,D1,There are no treatment plants,SC,290,877,9/26/2017
DISTRICT 01 - KLAMATH,2510002,CEDARVILLE COUNTY WATER DIST.,C,C,D1,There are no treatment plants,SC,290,500,6/24/2019
DISTRICT 21 - VALLEY,410007,PARADISE IRRIGATION DISTRICT,C,C,D3,T5,DAVCL,287,4600,2/19/2020
DISTRICT 20 - RIVERSIDE,3310080,LAKE HEMET MWD-CAMP GROUND,C,C,D1,Operator is not required,SC,287,600,11/8/2017
DISTRICT 09 - SACRAMENTO,5710004,KNIGHTS LANDING SVC. DIST.,C,C,D2,TD,SC,287,1300,2/21/2020
DISTRICT 13 - SAN BERNARDINO,1400010,"ROLLING GREEN UTILITIES, INC.",C,C,D1,There are no treatment plants,SC,285,800,8/28/2017
DISTRICT 19 - TEHACHAPI,1510016,RAND COMMUNITIES WATER DISTRICT,C,C,D1,TD,DAVCS,285,372,11/28/2018
DISTRICT 13 - SAN BERNARDINO,1400111,MEADOWCREEK MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,284,764,12/6/2017
DISTRICT 12 - VISALIA,5410034,DEL ORO CALIFORNIA PINES DISTRICT,C,C,D1,TD,SC,283,934,11/9/2018
DISTRICT 01 - KLAMATH,1210023,LOLETA C.S.D.,C,C,D2,T1,DAVCS,280,750,1/14/2020
DISTRICT 06 - SANTA BARBARA,4210005,SAN VICENTE WATER COMPANY,C,C,D1,T2,SC,278,550,4/19/2019
DISTRICT 02 - LASSEN,4510015,DEL ORO WATER CO.-JOHNSON PARK,C,C,D1,TD,DAVCS,277,908,12/18/2018
DISTRICT 10 - STOCKTON,5010033,CITY OF MODESTO - GRAYSON,C,C,D1,T2,SC,277,871,7/6/2018
DISTRICT 19 - TEHACHAPI,1510054,PINON PINES MWC,C,C,D1,There are no treatment plants,DAVCS,275,642,8/17/2018
DISTRICT 02 - LASSEN,3110036,NORTH TAHOE PUD - DOLLAR COVE,C,C,D1,There are no treatment plants,SC,273,800,8/13/2019
DISTRICT 05 - MONTEREY,2700511,NORMCO WC,C,C,D1,T2,SC,272,928,2/11/2019
DISTRICT 11 - MERCED,5510033,TUD-SCENIC VIEW/SCENIC BROOK,C,C,D2,T2,SC,272,645,11/9/2018
DISTRICT 02 - LASSEN,3110019,SQUAW VALLEY MWC,C,C,D2,T1,SC,271,500,8/13/2019
DISTRICT 18 - SONOMA,4910018,ARMSTRONG VALLEY-CAL WATER SERVICE (PUC),C,C,D1,TD,SC,269,424,6/18/2013
DISTRICT 02 - LASSEN,3110023,NORTH TAHOE PUD - CARNELIAN WOODS,C,C,D1,There are no treatment plants,SC,268,524,6/14/2018
